label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,7]
14.a1	[1,0,1,-2731,-55146]	1 0 1
14.a2	[1,0,1,-171,-874]	1 0 1
14.a3	[1,0,1,-36,-70]	1 0 1
14.a4	[1,0,1,-11,12]	1 0 1
14.a5	[1,0,1,-1,0]	1 0 1
14.a6	[1,0,1,4,-6]	1 0 1
21.a1	[1,0,0,-784,-8515]	0 1 1
21.a2	[1,0,0,-49,-136]	0 1 1
21.a3	[1,0,0,-39,90]	0 1 1
21.a4	[1,0,0,-34,-217]	0 1 1
21.a5	[1,0,0,-4,-1]	0 1 1
21.a6	[1,0,0,1,0]	0 1 1
24.a1	[0,-1,0,-384,-2772]	3 1 0
24.a2	[0,-1,0,-64,220]	3 1 0
24.a3	[0,-1,0,-24,-36]	3 1 0
24.a4	[0,-1,0,-4,4]	3 1 0
24.a5	[0,-1,0,1,0]	3 1 0
24.a6	[0,-1,0,16,-180]	3 1 0
27.a1	[0,0,1,-270,-1708]	0 3 0
27.a2	[0,0,1,-30,63]	0 3 0
27.a3	[0,0,1,0,-7]	0 3 0
27.a4	[0,0,1,0,0]	0 3 0
32.a1	[0,0,0,-11,-14]	5 0 0
32.a2	[0,0,0,-11,14]	5 0 0
32.a3	[0,0,0,-1,0]	5 0 0
32.a4	[0,0,0,4,0]	5 0 0
36.a1	[0,0,0,-135,-594]	2 2 0
36.a2	[0,0,0,-15,22]	2 2 0
36.a3	[0,0,0,0,-27]	2 2 0
36.a4	[0,0,0,0,1]	2 2 0
42.a1	[1,1,1,-1344,18405]	1 1 1
42.a2	[1,1,1,-914,-10915]	1 1 1
42.a3	[1,1,1,-104,101]	1 1 1
42.a4	[1,1,1,-84,261]	1 1 1
42.a5	[1,1,1,-4,5]	1 1 1
42.a6	[1,1,1,386,1277]	1 1 1
48.a1	[0,1,0,-384,2772]	4 1 0
48.a2	[0,1,0,-64,-220]	4 1 0
48.a3	[0,1,0,-24,36]	4 1 0
48.a4	[0,1,0,-4,-4]	4 1 0
48.a5	[0,1,0,1,0]	4 1 0
48.a6	[0,1,0,16,180]	4 1 0
49.a1	[1,-1,0,-1822,30393]	0 0 2
49.a2	[1,-1,0,-107,552]	0 0 2
49.a3	[1,-1,0,-37,-78]	0 0 2
49.a4	[1,-1,0,-2,-1]	0 0 2
54.a1	[1,-1,0,-123,-667]	1 3 0
54.a2	[1,-1,0,-3,3]	1 3 0
54.a3	[1,-1,0,12,8]	1 3 0
54.b1	[1,-1,1,-29,-53]	1 3 0
54.b2	[1,-1,1,-14,29]	1 3 0
54.b3	[1,-1,1,1,-1]	1 3 0
56.a1	[0,0,0,-299,1990]	3 0 1
56.a2	[0,0,0,-59,-138]	3 0 1
56.a3	[0,0,0,-19,30]	3 0 1
56.a4	[0,0,0,1,2]	3 0 1
56.b1	[0,-1,0,-40,-84]	3 0 1
56.b2	[0,-1,0,0,-4]	3 0 1
63.a1	[1,-1,0,-7056,229905]	0 2 1
63.a2	[1,-1,0,-441,3672]	0 2 1
63.a3	[1,-1,0,-351,-2430]	0 2 1
63.a4	[1,-1,0,-306,5859]	0 2 1
63.a5	[1,-1,0,-36,27]	0 2 1
63.a6	[1,-1,0,9,0]	0 2 1
64.a1	[0,0,0,-44,-112]	6 0 0
64.a2	[0,0,0,-44,112]	6 0 0
64.a3	[0,0,0,-4,0]	6 0 0
64.a4	[0,0,0,1,0]	6 0 0
72.a1	[0,0,0,-3459,78302]	3 2 0
72.a2	[0,0,0,-579,-5362]	3 2 0
72.a3	[0,0,0,-219,1190]	3 2 0
72.a4	[0,0,0,-39,-70]	3 2 0
72.a5	[0,0,0,6,-7]	3 2 0
72.a6	[0,0,0,141,4718]	3 2 0
84.a1	[0,-1,0,-36,-72]	2 1 1
84.a2	[0,-1,0,-1,-2]	2 1 1
84.b1	[0,1,0,-1828,-30700]	2 1 1
84.b2	[0,1,0,-113,-516]	2 1 1
84.b3	[0,1,0,-28,-28]	2 1 1
84.b4	[0,1,0,7,0]	2 1 1
96.a1	[0,-1,0,-32,-60]	5 1 0
96.a2	[0,-1,0,-17,33]	5 1 0
96.a3	[0,-1,0,-2,0]	5 1 0
96.a4	[0,-1,0,8,-8]	5 1 0
96.b1	[0,1,0,-32,60]	5 1 0
96.b2	[0,1,0,-17,-33]	5 1 0
96.b3	[0,1,0,-2,0]	5 1 0
96.b4	[0,1,0,8,8]	5 1 0
98.a1	[1,1,0,-133795,18781197]	1 0 2
98.a2	[1,1,0,-8355,291341]	1 0 2
98.a3	[1,1,0,-1740,22184]	1 0 2
98.a4	[1,1,0,-515,-4717]	1 0 2
98.a5	[1,1,0,-25,-111]	1 0 2
98.a6	[1,1,0,220,2192]	1 0 2
108.a1	[0,0,0,0,-108]	2 3 0
108.a2	[0,0,0,0,4]	2 3 0
112.a1	[0,1,0,-40,84]	4 0 1
112.a2	[0,1,0,0,4]	4 0 1
112.b1	[0,0,0,-299,-1990]	4 0 1
112.b2	[0,0,0,-59,138]	4 0 1
112.b3	[0,0,0,-19,-30]	4 0 1
112.b4	[0,0,0,1,-2]	4 0 1
112.c1	[0,-1,0,-43688,3529328]	4 0 1
112.c2	[0,-1,0,-2728,55920]	4 0 1
112.c3	[0,-1,0,-568,4464]	4 0 1
112.c4	[0,-1,0,-168,-784]	4 0 1
