label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,19]
19.a1	[0,1,1,-769,-8470]	0 1
19.a2	[0,1,1,-9,-15]	0 1
19.a3	[0,1,1,1,0]	0 1
32.a1	[0,0,0,-11,-14]	5 0
32.a2	[0,0,0,-11,14]	5 0
32.a3	[0,0,0,-1,0]	5 0
32.a4	[0,0,0,4,0]	5 0
38.a1	[1,0,1,-86,-2456]	1 1
38.a2	[1,0,1,-16,22]	1 1
38.a3	[1,0,1,9,90]	1 1
38.b1	[1,1,1,-70,-279]	1 1
38.b2	[1,1,1,0,1]	1 1
64.a1	[0,0,0,-44,-112]	6 0
64.a2	[0,0,0,-44,112]	6 0
64.a3	[0,0,0,-4,0]	6 0
64.a4	[0,0,0,1,0]	6 0
76.a1	[0,-1,0,-21,-31]	2 1
128.a1	[0,1,0,-9,7]	7 0
128.a2	[0,1,0,1,1]	7 0
128.b1	[0,1,0,-2,-2]	7 0
128.b2	[0,1,0,3,-5]	7 0
128.c1	[0,-1,0,-9,-7]	7 0
128.c2	[0,-1,0,1,-1]	7 0
128.d1	[0,-1,0,-2,2]	7 0
128.d2	[0,-1,0,3,5]	7 0
152.a1	[0,1,0,-1,3]	3 1
152.b1	[0,1,0,-8,-16]	3 1
256.a1	[0,1,0,-13,-21]	8 0
256.a2	[0,1,0,-3,1]	8 0
256.b1	[0,0,0,-2,0]	8 0
256.b2	[0,0,0,8,0]	8 0
256.c1	[0,0,0,-8,0]	8 0
256.c2	[0,0,0,2,0]	8 0
256.d1	[0,-1,0,-13,21]	8 0
256.d2	[0,-1,0,-3,-1]	8 0
304.a1	[0,1,0,-21,31]	4 1
304.b1	[0,-1,0,-8,16]	4 1
304.c1	[0,-1,0,-1368,157168]	4 1
304.c2	[0,-1,0,-248,-1424]	4 1
304.c3	[0,-1,0,152,-5776]	4 1
304.d1	[0,1,0,-1120,15604]	4 1
304.d2	[0,1,0,0,-76]	4 1
304.e1	[0,-1,0,-1,-3]	4 1
304.f1	[0,-1,0,-12309,529757]	4 1
304.f2	[0,-1,0,-149,797]	4 1
304.f3	[0,-1,0,11,-3]	4 1
361.a1	[0,0,1,-13718,-619025]	0 2
361.a2	[0,0,1,-38,90]	0 2
361.b1	[0,-1,1,-277729,56427893]	0 2
361.b2	[0,-1,1,-3369,81208]	0 2
361.b3	[0,-1,1,241,-17]	0 2
608.a1	[0,0,0,5,-2]	5 1
608.b1	[0,0,0,-8,16]	5 1
608.c1	[0,0,0,-8,-16]	5 1
608.d1	[0,0,0,-56,-4848]	5 1
608.e1	[0,0,0,-56,4848]	5 1
608.f1	[0,0,0,5,2]	5 1
722.a1	[1,-1,0,-1,-11]	1 2
722.b1	[1,0,1,-25278,1710222]	1 2
722.b2	[1,0,1,-8,-8138]	1 2
722.c1	[1,0,1,-33581,-2375576]	1 2
722.c2	[1,0,1,714,-16080]	1 2
722.d1	[1,1,1,-93,307]	1 2
722.d2	[1,1,1,2,3]	1 2
722.e1	[1,1,1,-30873,16782247]	1 2
722.e2	[1,1,1,-5603,-163815]	1 2
722.e3	[1,1,1,3422,-612177]	1 2
722.f1	[1,-1,1,-429,77485]	1 2
1216.a1	[0,0,0,20,16]	6 1
1216.b1	[0,1,0,-3077,64681]	6 1
1216.b2	[0,1,0,-37,81]	6 1
1216.b3	[0,1,0,3,1]	6 1
1216.c1	[0,1,0,-85,-333]	6 1
1216.d1	[0,1,0,-5,-29]	6 1
1216.e1	[0,-1,0,-5473,-1251871]	6 1
1216.e2	[0,-1,0,-993,12385]	6 1
1216.e3	[0,-1,0,607,45601]	6 1
1216.f1	[0,-1,0,-33,-95]	6 1
1216.g1	[0,-1,0,-4481,129313]	6 1
1216.g2	[0,-1,0,-1,-607]	6 1
1216.h1	[0,0,0,-14,-606]	6 1
