label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,19]
1216.i1	[0,0,0,-14,606]	6 1
1216.j1	[0,0,0,-2,2]	6 1
1216.k1	[0,0,0,-2,-2]	6 1
1216.l1	[0,1,0,-33,95]	6 1
1216.m1	[0,1,0,-5473,1251871]	6 1
1216.m2	[0,1,0,-993,-12385]	6 1
1216.m3	[0,1,0,607,-45601]	6 1
1216.n1	[0,1,0,-4481,-129313]	6 1
1216.n2	[0,1,0,-1,607]	6 1
1216.o1	[0,-1,0,-3077,-64681]	6 1
1216.o2	[0,-1,0,-37,-81]	6 1
1216.o3	[0,-1,0,3,-1]	6 1
1216.p1	[0,-1,0,-5,29]	6 1
1216.q1	[0,-1,0,-85,333]	6 1
1216.r1	[0,0,0,20,-16]	6 1
1444.a1	[0,1,0,-7701,258583]	2 2
1444.b1	[0,-1,0,-2286,34549]	2 2
1444.c1	[0,1,0,-6,-7]	2 2
2432.a1	[0,-1,0,-9,25]	7 1
2432.b1	[0,-1,0,-489,4345]	7 1
2432.c1	[0,-1,0,-122,-482]	7 1
2432.d1	[0,-1,0,-2,-2]	7 1
2432.e1	[0,1,0,-489,-4345]	7 1
2432.f1	[0,1,0,-9,-25]	7 1
2432.g1	[0,1,0,-2,2]	7 1
2432.h1	[0,1,0,-122,482]	7 1
2888.a1	[0,-1,0,-43440,6433996]	3 2
2888.b1	[0,-1,0,-3008,91948]	3 2
2888.c1	[0,-1,0,-424,-3223]	3 2
2888.d1	[0,1,0,-120,-976]	3 2
2888.e1	[0,1,0,-153184,23025409]	3 2
2888.f1	[0,-1,0,-481,-23211]	3 2
4864.a1	[0,0,0,-22,40]	8 1
4864.b1	[0,0,0,-88,-320]	8 1
4864.c1	[0,-1,0,1,-5]	8 1
4864.d1	[0,-1,0,37,-41]	8 1
4864.e1	[0,-1,0,147,181]	8 1
4864.f1	[0,-1,0,3,37]	8 1
4864.g1	[0,0,0,-50,-136]	8 1
4864.g2	[0,0,0,-40,-192]	8 1
4864.h1	[0,0,0,-200,-1088]	8 1
4864.h2	[0,0,0,-10,-24]	8 1
4864.i1	[0,0,0,-200,1088]	8 1
4864.i2	[0,0,0,-10,24]	8 1
4864.j1	[0,0,0,-50,136]	8 1
4864.j2	[0,0,0,-40,192]	8 1
4864.k1	[0,1,0,1,5]	8 1
4864.l1	[0,1,0,147,-181]	8 1
4864.m1	[0,1,0,37,41]	8 1
4864.n1	[0,1,0,3,-37]	8 1
4864.o1	[0,0,0,-22,-40]	8 1
4864.p1	[0,0,0,-88,320]	8 1
5776.a1	[0,0,0,-6859,-4952198]	4 2
5776.b1	[0,1,0,-481,23211]	4 2
5776.c1	[0,1,0,-4443669,-3606941501]	4 2
5776.c2	[0,1,0,-53909,-5143421]	4 2
5776.c3	[0,1,0,3851,-2781]	4 2
5776.d1	[0,-1,0,-404440,-109454224]	4 2
5776.d2	[0,-1,0,-120,520816]	4 2
5776.e1	[0,-1,0,-120,976]	4 2
5776.f1	[0,-1,0,-6,7]	4 2
5776.g1	[0,-1,0,-537288,152036848]	4 2
5776.g2	[0,-1,0,11432,1029104]	4 2
5776.h1	[0,-1,0,-153184,-23025409]	4 2
5776.i1	[0,0,0,-219488,39617584]	4 2
5776.i2	[0,0,0,-608,-5776]	4 2
5776.j1	[0,1,0,-43440,-6433996]	4 2
5776.k1	[0,1,0,-2286,-34549]	4 2
5776.l1	[0,1,0,-3008,-91948]	4 2
5776.m1	[0,1,0,-493968,-1075051756]	4 2
5776.m2	[0,1,0,-89648,10304852]	4 2
5776.m3	[0,1,0,54752,39288820]	4 2
5776.n1	[0,1,0,-1488,-22636]	4 2
5776.n2	[0,1,0,32,-140]	4 2
5776.o1	[0,1,0,-424,3223]	4 2
5776.p1	[0,-1,0,-7701,-258583]	4 2
5776.q1	[0,0,0,-19,722]	4 2
11552.a1	[0,0,0,-1159171,-480363206]	5 2
11552.b1	[0,0,0,-3211,-70034]	5 2
11552.c1	[0,0,0,1805,-13718]	5 2
11552.d1	[0,0,0,-19,-38]	5 2
11552.e1	[0,0,0,-6859,-260642]	5 2
11552.f1	[0,1,0,18291,-1461221]	5 2
11552.g1	[0,1,0,51,-197]	5 2
11552.h1	[0,0,0,-3971,-96026]	5 2
11552.h2	[0,0,0,-3971,96026]	5 2
11552.h3	[0,0,0,-361,0]	5 2
11552.h4	[0,0,0,1444,0]	5 2
11552.i1	[0,0,0,-27436,0]	5 2
11552.i2	[0,0,0,6859,0]	5 2
11552.j1	[0,0,0,-76,0]	5 2
11552.j2	[0,0,0,19,0]	5 2
11552.k1	[0,0,0,-2888,-109744]	5 2
11552.l1	[0,0,0,-2888,109744]	5 2
11552.m1	[0,0,0,-20216,33252432]	5 2
11552.n1	[0,0,0,-20216,-33252432]	5 2
11552.o1	[0,-1,0,51,197]	5 2
11552.p1	[0,-1,0,18291,1461221]	5 2
11552.q1	[0,0,0,-3211,70034]	5 2
11552.r1	[0,0,0,-1159171,480363206]	5 2
11552.s1	[0,0,0,1805,13718]	5 2
11552.t1	[0,0,0,-6859,260642]	5 2
11552.u1	[0,0,0,-19,38]	5 2
23104.a1	[0,0,0,-27436,39617584]	6 2
23104.b1	[0,0,0,-27436,2085136]	6 2
23104.c1	[0,0,0,-76,304]	6 2
23104.d1	[0,0,0,-76,5776]	6 2
23104.e1	[0,0,0,7220,109744]	6 2
23104.f1	[0,0,0,-12844,560272]	6 2
23104.g1	[0,0,0,-4636684,3842905648]	6 2
23104.h1	[0,1,0,13,31]	6 2
23104.i1	[0,1,0,-1110917,450312229]	6 2
23104.i2	[0,1,0,-13477,636189]	6 2
23104.i3	[0,1,0,963,829]	6 2
23104.j1	[0,1,0,4573,184939]	6 2
23104.k1	[0,1,0,-1925,-187613]	6 2
23104.l1	[0,1,0,-30805,-2099469]	6 2
23104.m1	[0,-1,0,-1697,27481]	6 2
23104.n1	[0,-1,0,-612737,184816009]	6 2
23104.o1	[0,-1,0,-2149153,-1214145631]	6 2
23104.o2	[0,-1,0,45727,-8278559]	6 2
23104.p1	[0,-1,0,-12033,-723551]	6 2
23104.q1	[0,-1,0,-1975873,-8598438175]	6 2
23104.q2	[0,-1,0,-358593,82797409]	6 2
23104.q3	[0,-1,0,219007,314091553]	6 2
23104.r1	[0,-1,0,-5953,-175135]	6 2
23104.r2	[0,-1,0,127,-1247]	6 2
23104.s1	[0,-1,0,-9145,-267247]	6 2
23104.t1	[0,-1,0,-25,-31]	6 2
23104.u1	[0,-1,0,-481,-7327]	6 2
23104.v1	[0,-1,0,-173761,-51298207]	6 2
23104.w1	[0,-1,0,-1617761,877251553]	6 2
23104.w2	[0,-1,0,-481,-4166047]	6 2
23104.x1	[0,0,0,-5054,4156554]	6 2
23104.y1	[0,0,0,-5054,-4156554]	6 2
23104.z1	[0,0,0,-54872,4952198]	6 2
23104.z2	[0,0,0,-152,-722]	6 2
23104.ba1	[0,0,0,-722,-13718]	6 2
23104.bb1	[0,0,0,-722,13718]	6 2
23104.bc1	[0,0,0,-54872,-4952198]	6 2
23104.bc2	[0,0,0,-152,722]	6 2
23104.bd1	[0,0,0,-19,0]	6 2
23104.bd2	[0,0,0,76,0]	6 2
23104.be1	[0,0,0,-6859,0]	6 2
23104.be2	[0,0,0,27436,0]	6 2
23104.bf1	[0,0,0,-15884,-768208]	6 2
23104.bf2	[0,0,0,-15884,768208]	6 2
23104.bf3	[0,0,0,-1444,0]	6 2
23104.bf4	[0,0,0,361,0]	6 2
23104.bg1	[0,1,0,-612737,-184816009]	6 2
23104.bh1	[0,1,0,-1697,-27481]	6 2
23104.bi1	[0,1,0,-5953,175135]	6 2
23104.bi2	[0,1,0,127,1247]	6 2
23104.bj1	[0,1,0,-1975873,8598438175]	6 2
23104.bj2	[0,1,0,-358593,-82797409]	6 2
23104.bj3	[0,1,0,219007,-314091553]	6 2
23104.bk1	[0,1,0,-12033,723551]	6 2
23104.bl1	[0,1,0,-2149153,1214145631]	6 2
23104.bl2	[0,1,0,45727,8278559]	6 2
23104.bm1	[0,1,0,-25,31]	6 2
23104.bn1	[0,1,0,-9145,267247]	6 2
23104.bo1	[0,1,0,-1617761,-877251553]	6 2
23104.bo2	[0,1,0,-481,4166047]	6 2
23104.bp1	[0,1,0,-173761,51298207]	6 2
23104.bq1	[0,1,0,-481,7327]	6 2
23104.br1	[0,-1,0,4573,-184939]	6 2
23104.bs1	[0,-1,0,-1110917,-450312229]	6 2
23104.bs2	[0,-1,0,-13477,-636189]	6 2
23104.bs3	[0,-1,0,963,-829]	6 2
23104.bt1	[0,-1,0,13,-31]	6 2
23104.bu1	[0,-1,0,-30805,2099469]	6 2
23104.bv1	[0,-1,0,-1925,187613]	6 2
23104.bw1	[0,0,0,-76,-5776]	6 2
23104.bx1	[0,0,0,-76,-304]	6 2
23104.by1	[0,0,0,-27436,-2085136]	6 2
23104.bz1	[0,0,0,-27436,-39617584]	6 2
23104.ca1	[0,0,0,7220,-109744]	6 2
23104.cb1	[0,0,0,-4636684,-3842905648]	6 2
23104.cc1	[0,0,0,-12844,-560272]	6 2
46208.a1	[0,1,0,-3369,67975]	7 2
46208.a2	[0,1,0,241,5161]	7 2
46208.b1	[0,1,0,-842,-8918]	7 2
46208.b2	[0,1,0,963,-40325]	7 2
46208.c1	[0,-1,0,-176649,28742713]	7 2
46208.d1	[0,-1,0,-3369,151513]	7 2
46208.e1	[0,-1,0,-842,-18518]	7 2
46208.f1	[0,-1,0,-44162,-3570758]	7 2
46208.g1	[0,1,0,-3369,-151513]	7 2
46208.h1	[0,1,0,-176649,-28742713]	7 2
46208.i1	[0,1,0,-44162,3570758]	7 2
46208.j1	[0,1,0,-842,18518]	7 2
46208.k1	[0,-1,0,-3369,-67975]	7 2
46208.k2	[0,-1,0,241,-5161]	7 2
46208.l1	[0,-1,0,-842,8918]	7 2
46208.l2	[0,-1,0,963,40325]	7 2
92416.a1	[0,0,0,-7942,274360]	8 2
92416.b1	[0,0,0,-31768,-2194880]	8 2
92416.c1	[0,1,0,-4813,-115413]	8 2
92416.c2	[0,1,0,-1203,13825]	8 2
92416.d1	[0,-1,0,-1165,15701]	8 2
92416.e1	[0,-1,0,-420685,105169301]	8 2
92416.f1	[0,-1,0,18291,-623915]	8 2
92416.g1	[0,-1,0,241,-32597]	8 2
92416.h1	[0,-1,0,51,-107]	8 2
92416.i1	[0,-1,0,-63,235]	8 2
92416.j1	[0,-1,0,52947,1559413]	8 2
92416.k1	[0,-1,0,-91453,-11708059]	8 2
92416.l1	[0,-1,0,-253,-1627]	8 2
92416.m1	[0,-1,0,13237,-201545]	8 2
92416.n1	[0,-1,0,-22863,1474939]	8 2
92416.o1	[0,-1,0,13,7]	8 2
92416.p1	[0,-1,0,963,259813]	8 2
92416.q1	[0,-1,0,4573,75703]	8 2
92416.r1	[0,-1,0,-105171,-13093577]	8 2
92416.s1	[0,-1,0,-291,-1817]	8 2
92416.t1	[0,0,0,-54872,0]	8 2
92416.t2	[0,0,0,13718,0]	8 2
92416.u1	[0,0,0,-722,0]	8 2
92416.u2	[0,0,0,2888,0]	8 2
92416.v1	[0,0,0,-152,0]	8 2
92416.v2	[0,0,0,38,0]	8 2
92416.w1	[0,0,0,-18050,932824]	8 2
92416.w2	[0,0,0,-14440,1316928]	8 2
92416.x1	[0,0,0,-72200,7462592]	8 2
92416.x2	[0,0,0,-3610,164616]	8 2
92416.y1	[0,0,0,-72200,-7462592]	8 2
92416.y2	[0,0,0,-3610,-164616]	8 2
92416.z1	[0,0,0,-18050,-932824]	8 2
92416.z2	[0,0,0,-14440,-1316928]	8 2
92416.ba1	[0,0,0,-38,0]	8 2
92416.ba2	[0,0,0,152,0]	8 2
92416.bb1	[0,0,0,-2888,0]	8 2
92416.bb2	[0,0,0,722,0]	8 2
92416.bc1	[0,0,0,-13718,0]	8 2
92416.bc2	[0,0,0,54872,0]	8 2
92416.bd1	[0,1,0,-420685,-105169301]	8 2
92416.be1	[0,1,0,-1165,-15701]	8 2
92416.bf1	[0,1,0,51,107]	8 2
92416.bg1	[0,1,0,241,32597]	8 2
92416.bh1	[0,1,0,18291,623915]	8 2
92416.bi1	[0,1,0,-22863,-1474939]	8 2
92416.bj1	[0,1,0,13237,201545]	8 2
92416.bk1	[0,1,0,-253,1627]	8 2
92416.bl1	[0,1,0,-91453,11708059]	8 2
92416.bm1	[0,1,0,52947,-1559413]	8 2
92416.bn1	[0,1,0,-63,-235]	8 2
92416.bo1	[0,1,0,4573,-75703]	8 2
92416.bp1	[0,1,0,963,-259813]	8 2
92416.bq1	[0,1,0,13,-7]	8 2
92416.br1	[0,1,0,-291,1817]	8 2
92416.bs1	[0,1,0,-105171,13093577]	8 2
92416.bt1	[0,-1,0,-4813,115413]	8 2
92416.bt2	[0,-1,0,-1203,-13825]	8 2
92416.bu1	[0,0,0,-7942,-274360]	8 2
92416.bv1	[0,0,0,-31768,2194880]	8 2
