label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,17]
17.a1	[1,-1,1,-91,-310]	0 1
17.a2	[1,-1,1,-6,-4]	0 1
17.a3	[1,-1,1,-1,-14]	0 1
17.a4	[1,-1,1,-1,0]	0 1
32.a1	[0,0,0,-11,-14]	5 0
32.a2	[0,0,0,-11,14]	5 0
32.a3	[0,0,0,-1,0]	5 0
32.a4	[0,0,0,4,0]	5 0
34.a1	[1,0,0,-113,-329]	1 1
34.a2	[1,0,0,-103,-411]	1 1
34.a3	[1,0,0,-43,105]	1 1
34.a4	[1,0,0,-3,1]	1 1
64.a1	[0,0,0,-44,-112]	6 0
64.a2	[0,0,0,-44,112]	6 0
64.a3	[0,0,0,-4,0]	6 0
64.a4	[0,0,0,1,0]	6 0
128.a1	[0,1,0,-9,7]	7 0
128.a2	[0,1,0,1,1]	7 0
128.b1	[0,1,0,-2,-2]	7 0
128.b2	[0,1,0,3,-5]	7 0
128.c1	[0,-1,0,-9,-7]	7 0
128.c2	[0,-1,0,1,-1]	7 0
128.d1	[0,-1,0,-2,2]	7 0
128.d2	[0,-1,0,3,5]	7 0
136.a1	[0,1,0,-4,0]	3 1
136.a2	[0,1,0,16,16]	3 1
136.b1	[0,-1,0,-48,140]	3 1
136.b2	[0,-1,0,-8,-4]	3 1
256.a1	[0,1,0,-13,-21]	8 0
256.a2	[0,1,0,-3,1]	8 0
256.b1	[0,0,0,-2,0]	8 0
256.b2	[0,0,0,8,0]	8 0
256.c1	[0,0,0,-8,0]	8 0
256.c2	[0,0,0,2,0]	8 0
256.d1	[0,-1,0,-13,21]	8 0
256.d2	[0,-1,0,-3,-1]	8 0
272.a1	[0,1,0,-48,-140]	4 1
272.a2	[0,1,0,-8,4]	4 1
272.b1	[0,0,0,-1451,21274]	4 1
272.b2	[0,0,0,-91,330]	4 1
272.b3	[0,0,0,-11,-6]	4 1
272.b4	[0,0,0,-11,890]	4 1
272.c1	[0,-1,0,-4,0]	4 1
272.c2	[0,-1,0,16,-16]	4 1
272.d1	[0,-1,0,-1808,21056]	4 1
272.d2	[0,-1,0,-1648,26304]	4 1
272.d3	[0,-1,0,-688,-6720]	4 1
272.d4	[0,-1,0,-48,-64]	4 1
289.a1	[1,-1,1,-26209,-1626560]	0 2
289.a2	[1,-1,1,-1644,-24922]	0 2
289.a3	[1,-1,1,-199,-68272]	0 2
289.a4	[1,-1,1,-199,510]	0 2
544.a1	[0,1,0,-22,-48]	5 1
544.a2	[0,1,0,-17,-65]	5 1
544.b1	[0,1,0,-16,12]	5 1
544.b2	[0,1,0,-6,-8]	5 1
544.c1	[0,0,0,-5,4]	5 1
544.c2	[0,0,0,5,18]	5 1
544.d1	[0,0,0,-5,-4]	5 1
544.d2	[0,0,0,5,-18]	5 1
544.e1	[0,-1,0,-22,48]	5 1
544.e2	[0,-1,0,-17,65]	5 1
544.f1	[0,-1,0,-16,-12]	5 1
544.f2	[0,-1,0,-6,8]	5 1
578.a1	[1,1,1,-32663,-1583717]	1 2
578.a2	[1,1,1,-29773,-1989473]	1 2
578.a3	[1,1,1,-12433,528295]	1 2
578.a4	[1,1,1,-873,5783]	1 2
1088.a1	[0,1,0,-65,-161]	6 1
1088.a2	[0,1,0,-25,39]	6 1
1088.b1	[0,1,0,-89,295]	6 1
1088.b2	[0,1,0,-4,6]	6 1
1088.c1	[0,1,0,-193,927]	6 1
1088.c2	[0,1,0,-33,-65]	6 1
1088.d1	[0,1,0,-7233,161215]	6 1
1088.d2	[0,1,0,-6593,203839]	6 1
1088.d3	[0,1,0,-2753,-56513]	6 1
1088.d4	[0,1,0,-193,-705]	6 1
1088.e1	[0,1,0,-17,-17]	6 1
1088.e2	[0,1,0,63,-65]	6 1
1088.f1	[0,0,0,-20,32]	6 1
1088.f2	[0,0,0,20,144]	6 1
1088.g1	[0,0,0,-20,-32]	6 1
1088.g2	[0,0,0,20,-144]	6 1
1088.h1	[0,0,0,-5804,170192]	6 1
1088.h2	[0,0,0,-364,2640]	6 1
1088.h3	[0,0,0,-44,-48]	6 1
1088.h4	[0,0,0,-44,7120]	6 1
1088.i1	[0,0,0,-5804,-170192]	6 1
1088.i2	[0,0,0,-364,-2640]	6 1
1088.i3	[0,0,0,-44,-7120]	6 1
1088.i4	[0,0,0,-44,48]	6 1
1088.j1	[0,-1,0,-65,161]	6 1
1088.j2	[0,-1,0,-25,-39]	6 1
1088.k1	[0,-1,0,-89,-295]	6 1
1088.k2	[0,-1,0,-4,-6]	6 1
1088.l1	[0,-1,0,-7233,-161215]	6 1
1088.l2	[0,-1,0,-6593,-203839]	6 1
1088.l3	[0,-1,0,-2753,56513]	6 1
1088.l4	[0,-1,0,-193,705]	6 1
1088.m1	[0,-1,0,-193,-927]	6 1
1088.m2	[0,-1,0,-33,65]	6 1
1088.n1	[0,-1,0,-17,17]	6 1
1088.n2	[0,-1,0,63,65]	6 1
2312.a1	[0,1,0,-13968,604192]	3 2
2312.a2	[0,1,0,-2408,-33920]	3 2
2312.b1	[0,1,0,-106448,-13392656]	3 2
2312.b2	[0,1,0,-8188,-107904]	3 2
2312.c1	[0,-1,0,-368,-2596]	3 2
2312.c2	[0,-1,0,-28,-12]	3 2
2312.d1	[0,-1,0,-1252,7332]	3 2
2312.d2	[0,-1,0,4528,51260]	3 2
4352.a1	[0,0,0,-56,64]	8 1
4352.a2	[0,0,0,-46,120]	8 1
4352.b1	[0,0,0,-56,-64]	8 1
4352.b2	[0,0,0,-46,-120]	8 1
4352.c1	[0,0,0,-3080,-65792]	8 1
4352.c2	[0,0,0,-190,-1056]	8 1
4352.d1	[0,0,0,-770,-8224]	8 1
4352.d2	[0,0,0,-760,-8448]	8 1
4352.e1	[0,0,0,-3080,65792]	8 1
4352.e2	[0,0,0,-190,1056]	8 1
4352.f1	[0,0,0,-770,8224]	8 1
4352.f2	[0,0,0,-760,8448]	8 1
4352.g1	[0,0,0,-184,960]	8 1
4352.g2	[0,0,0,-14,8]	8 1
4352.h1	[0,0,0,-184,-960]	8 1
4352.h2	[0,0,0,-14,-8]	8 1
4624.a1	[0,1,0,-522608,100312660]	4 2
4624.a2	[0,1,0,-476368,126373524]	4 2
4624.a3	[0,1,0,-198928,-34208748]	4 2
4624.a4	[0,1,0,-13968,-398060]	4 2
4624.b1	[0,1,0,-368,2596]	4 2
4624.b2	[0,1,0,-28,12]	4 2
4624.c1	[0,1,0,-1252,-7332]	4 2
4624.c2	[0,1,0,4528,-51260]	4 2
4624.d1	[0,0,0,-419339,104519162]	4 2
4624.d2	[0,0,0,-26299,1621290]	4 2
4624.d3	[0,0,0,-3179,-29478]	4 2
4624.d4	[0,0,0,-3179,4372570]	4 2
4624.e1	[0,-1,0,-106448,13392656]	4 2
4624.e2	[0,-1,0,-8188,107904]	4 2
4624.f1	[0,-1,0,-13968,-604192]	4 2
4624.f2	[0,-1,0,-2408,33920]	4 2
9248.a1	[0,1,0,-4720,-87096]	5 2
9248.a2	[0,1,0,-1830,28504]	5 2
9248.b1	[0,1,0,-6454,197280]	5 2
9248.b2	[0,1,0,-5009,289471]	5 2
9248.c1	[0,0,0,-17,0]	5 2
9248.c2	[0,0,0,68,0]	5 2
9248.d1	[0,0,0,-1445,-19652]	5 2
9248.d2	[0,0,0,1445,-88434]	5 2
9248.e1	[0,0,0,-1445,19652]	5 2
9248.e2	[0,0,0,1445,88434]	5 2
9248.f1	[0,0,0,-3179,-68782]	5 2
9248.f2	[0,0,0,-3179,68782]	5 2
9248.f3	[0,0,0,-289,0]	5 2
9248.f4	[0,0,0,1156,0]	5 2
9248.g1	[0,0,0,-4913,0]	5 2
9248.g2	[0,0,0,19652,0]	5 2
9248.h1	[0,-1,0,-4720,87096]	5 2
9248.h2	[0,-1,0,-1830,-28504]	5 2
9248.i1	[0,-1,0,-6454,-197280]	5 2
9248.i2	[0,-1,0,-5009,-289471]	5 2
18496.a1	[0,1,0,-5009,53647]	6 2
18496.a2	[0,1,0,18111,428191]	6 2
18496.b1	[0,1,0,-425793,106715455]	6 2
18496.b2	[0,1,0,-32753,830479]	6 2
18496.c1	[0,1,0,-1473,-22241]	6 2
18496.c2	[0,1,0,-113,-209]	6 2
18496.d1	[0,1,0,-55873,-4889409]	6 2
18496.d2	[0,1,0,-9633,261727]	6 2
18496.e1	[0,1,0,-2090433,-804591713]	6 2
18496.e2	[0,1,0,-1905473,-1012893665]	6 2
18496.e3	[0,1,0,-795713,272874271]	6 2
18496.e4	[0,1,0,-55873,3128607]	6 2
18496.f1	[0,1,0,-25817,-1604057]	6 2
18496.f2	[0,1,0,-1252,-36810]	6 2
18496.g1	[0,1,0,-18881,677887]	6 2
18496.g2	[0,1,0,-7321,-235353]	6 2
18496.h1	[0,0,0,-19652,0]	6 2
18496.h2	[0,0,0,4913,0]	6 2
18496.i1	[0,0,0,-1677356,-836153296]	6 2
18496.i2	[0,0,0,-105196,-12970320]	6 2
18496.i3	[0,0,0,-12716,-34980560]	6 2
18496.i4	[0,0,0,-12716,235824]	6 2
18496.j1	[0,0,0,-12716,-550256]	6 2
18496.j2	[0,0,0,-12716,550256]	6 2
18496.j3	[0,0,0,-1156,0]	6 2
18496.j4	[0,0,0,289,0]	6 2
18496.k1	[0,0,0,-1677356,836153296]	6 2
18496.k2	[0,0,0,-105196,12970320]	6 2
18496.k3	[0,0,0,-12716,-235824]	6 2
18496.k4	[0,0,0,-12716,34980560]	6 2
18496.l1	[0,0,0,-5780,-157216]	6 2
18496.l2	[0,0,0,5780,-707472]	6 2
18496.m1	[0,0,0,-5780,157216]	6 2
18496.m2	[0,0,0,5780,707472]	6 2
18496.n1	[0,0,0,-68,0]	6 2
18496.n2	[0,0,0,17,0]	6 2
18496.o1	[0,-1,0,-5009,-53647]	6 2
18496.o2	[0,-1,0,18111,-428191]	6 2
18496.p1	[0,-1,0,-2090433,804591713]	6 2
18496.p2	[0,-1,0,-1905473,1012893665]	6 2
18496.p3	[0,-1,0,-795713,-272874271]	6 2
18496.p4	[0,-1,0,-55873,-3128607]	6 2
18496.q1	[0,-1,0,-55873,4889409]	6 2
18496.q2	[0,-1,0,-9633,-261727]	6 2
18496.r1	[0,-1,0,-1473,22241]	6 2
