label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,17]
18496.r2	[0,-1,0,-113,209]	6 2
18496.s1	[0,-1,0,-425793,-106715455]	6 2
18496.s2	[0,-1,0,-32753,-830479]	6 2
18496.t1	[0,-1,0,-25817,1604057]	6 2
18496.t2	[0,-1,0,-1252,36810]	6 2
18496.u1	[0,-1,0,-18881,-677887]	6 2
18496.u2	[0,-1,0,-7321,235353]	6 2
36992.a1	[0,1,0,-674,5962]	7 2
36992.a2	[0,1,0,771,29371]	7 2
36992.b1	[0,1,0,-2697,-50393]	7 2
36992.b2	[0,1,0,193,-3575]	7 2
36992.c1	[0,-1,0,-674,-5962]	7 2
36992.c2	[0,-1,0,771,-29371]	7 2
36992.d1	[0,-1,0,-2697,50393]	7 2
36992.d2	[0,-1,0,193,3575]	7 2
73984.a1	[0,1,0,-3853,80235]	8 2
73984.a2	[0,1,0,-963,-10511]	8 2
73984.b1	[0,0,0,-2312,0]	8 2
73984.b2	[0,0,0,578,0]	8 2
73984.c1	[0,0,0,-53176,-4716480]	8 2
73984.c2	[0,0,0,-4046,-39304]	8 2
73984.d1	[0,0,0,-136,0]	8 2
73984.d2	[0,0,0,34,0]	8 2
73984.e1	[0,0,0,-9826,0]	8 2
73984.e2	[0,0,0,39304,0]	8 2
73984.f1	[0,0,0,-53176,4716480]	8 2
73984.f2	[0,0,0,-4046,39304]	8 2
73984.g1	[0,0,0,-890120,323236096]	8 2
73984.g2	[0,0,0,-54910,5188128]	8 2
73984.h1	[0,0,0,-222530,40404512]	8 2
73984.h2	[0,0,0,-219640,41505024]	8 2
73984.i1	[0,0,0,-890120,-323236096]	8 2
73984.i2	[0,0,0,-54910,-5188128]	8 2
73984.j1	[0,0,0,-222530,-40404512]	8 2
73984.j2	[0,0,0,-219640,-41505024]	8 2
73984.k1	[0,0,0,-16184,-314432]	8 2
73984.k2	[0,0,0,-13294,-589560]	8 2
73984.l1	[0,0,0,-39304,0]	8 2
73984.l2	[0,0,0,9826,0]	8 2
73984.m1	[0,0,0,-34,0]	8 2
73984.m2	[0,0,0,136,0]	8 2
73984.n1	[0,0,0,-16184,314432]	8 2
73984.n2	[0,0,0,-13294,589560]	8 2
73984.o1	[0,0,0,-578,0]	8 2
73984.o2	[0,0,0,2312,0]	8 2
73984.p1	[0,-1,0,-3853,-80235]	8 2
73984.p2	[0,-1,0,-963,10511]	8 2
