label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,11]
11.a1	[0,-1,1,-7820,-263580]	0 0 1
11.a2	[0,-1,1,-10,-20]	0 0 1
11.a3	[0,-1,1,0,0]	0 0 1
24.a1	[0,-1,0,-384,-2772]	3 1 0
24.a2	[0,-1,0,-64,220]	3 1 0
24.a3	[0,-1,0,-24,-36]	3 1 0
24.a4	[0,-1,0,-4,4]	3 1 0
24.a5	[0,-1,0,1,0]	3 1 0
24.a6	[0,-1,0,16,-180]	3 1 0
27.a1	[0,0,1,-270,-1708]	0 3 0
27.a2	[0,0,1,-30,63]	0 3 0
27.a3	[0,0,1,0,-7]	0 3 0
27.a4	[0,0,1,0,0]	0 3 0
32.a1	[0,0,0,-11,-14]	5 0 0
32.a2	[0,0,0,-11,14]	5 0 0
32.a3	[0,0,0,-1,0]	5 0 0
32.a4	[0,0,0,4,0]	5 0 0
33.a1	[1,1,0,-146,621]	0 1 1
33.a2	[1,1,0,-11,0]	0 1 1
33.a3	[1,1,0,-6,-9]	0 1 1
33.a4	[1,1,0,44,55]	0 1 1
36.a1	[0,0,0,-135,-594]	2 2 0
36.a2	[0,0,0,-15,22]	2 2 0
36.a3	[0,0,0,0,-27]	2 2 0
36.a4	[0,0,0,0,1]	2 2 0
44.a1	[0,1,0,-77,-289]	2 0 1
44.a2	[0,1,0,3,-1]	2 0 1
48.a1	[0,1,0,-384,2772]	4 1 0
48.a2	[0,1,0,-64,-220]	4 1 0
48.a3	[0,1,0,-24,36]	4 1 0
48.a4	[0,1,0,-4,-4]	4 1 0
48.a5	[0,1,0,1,0]	4 1 0
48.a6	[0,1,0,16,180]	4 1 0
54.a1	[1,-1,0,-123,-667]	1 3 0
54.a2	[1,-1,0,-3,3]	1 3 0
54.a3	[1,-1,0,12,8]	1 3 0
54.b1	[1,-1,1,-29,-53]	1 3 0
54.b2	[1,-1,1,-14,29]	1 3 0
54.b3	[1,-1,1,1,-1]	1 3 0
64.a1	[0,0,0,-44,-112]	6 0 0
64.a2	[0,0,0,-44,112]	6 0 0
64.a3	[0,0,0,-4,0]	6 0 0
64.a4	[0,0,0,1,0]	6 0 0
66.a1	[1,0,1,-81,-284]	1 1 1
66.a2	[1,0,1,-41,-556]	1 1 1
66.a3	[1,0,1,-6,4]	1 1 1
66.a4	[1,0,1,4,20]	1 1 1
66.b1	[1,1,1,-352,-2689]	1 1 1
66.b2	[1,1,1,-22,-49]	1 1 1
66.b3	[1,1,1,-12,-81]	1 1 1
66.b4	[1,1,1,-2,-1]	1 1 1
66.c1	[1,0,0,-10065,-389499]	1 1 1
66.c2	[1,0,0,-10055,-390309]	1 1 1
66.c3	[1,0,0,-45,81]	1 1 1
66.c4	[1,0,0,115,561]	1 1 1
72.a1	[0,0,0,-3459,78302]	3 2 0
72.a2	[0,0,0,-579,-5362]	3 2 0
72.a3	[0,0,0,-219,1190]	3 2 0
72.a4	[0,0,0,-39,-70]	3 2 0
72.a5	[0,0,0,6,-7]	3 2 0
72.a6	[0,0,0,141,4718]	3 2 0
88.a1	[0,0,0,-4,4]	3 0 1
96.a1	[0,-1,0,-32,-60]	5 1 0
96.a2	[0,-1,0,-17,33]	5 1 0
96.a3	[0,-1,0,-2,0]	5 1 0
96.a4	[0,-1,0,8,-8]	5 1 0
96.b1	[0,1,0,-32,60]	5 1 0
96.b2	[0,1,0,-17,-33]	5 1 0
96.b3	[0,1,0,-2,0]	5 1 0
96.b4	[0,1,0,8,8]	5 1 0
99.a1	[1,-1,1,-17,30]	0 2 1
99.a2	[1,-1,1,-2,0]	0 2 1
99.b1	[1,-1,1,-1319,-18084]	0 2 1
99.b2	[1,-1,1,-104,-102]	0 2 1
99.b3	[1,-1,1,-59,186]	0 2 1
99.b4	[1,-1,1,391,-1092]	0 2 1
99.c1	[1,-1,0,-150,-667]	0 2 1
99.c2	[1,-1,0,-15,8]	0 2 1
99.d1	[0,0,1,-70383,7187035]	0 2 1
99.d2	[0,0,1,-93,625]	0 2 1
99.d3	[0,0,1,-3,-5]	0 2 1
108.a1	[0,0,0,0,-108]	2 3 0
108.a2	[0,0,0,0,4]	2 3 0
121.a1	[1,1,1,-305,7888]	0 0 2
121.a2	[1,1,1,-30,-76]	0 0 2
121.b1	[0,-1,1,-887,-10143]	0 0 2
121.b2	[0,-1,1,-7,10]	0 0 2
121.c1	[1,1,0,-3632,82757]	0 0 2
121.c2	[1,1,0,-2,-7]	0 0 2
121.d1	[0,-1,1,-946260,354609639]	0 0 2
121.d2	[0,-1,1,-1250,31239]	0 0 2
121.d3	[0,-1,1,-40,-221]	0 0 2
128.a1	[0,1,0,-9,7]	7 0 0
128.a2	[0,1,0,1,1]	7 0 0
128.b1	[0,1,0,-2,-2]	7 0 0
128.b2	[0,1,0,3,-5]	7 0 0
128.c1	[0,-1,0,-9,-7]	7 0 0
128.c2	[0,-1,0,1,-1]	7 0 0
128.d1	[0,-1,0,-2,2]	7 0 0
128.d2	[0,-1,0,3,5]	7 0 0
132.a1	[0,-1,0,-1292,18312]	2 1 1
132.a2	[0,-1,0,-77,330]	2 1 1
132.b1	[0,1,0,-12,-12]	2 1 1
132.b2	[0,1,0,3,0]	2 1 1
144.a1	[0,0,0,-135,594]	4 2 0
144.a2	[0,0,0,-15,-22]	4 2 0
144.a3	[0,0,0,0,-1]	4 2 0
144.a4	[0,0,0,0,27]	4 2 0
144.b1	[0,0,0,-3459,-78302]	4 2 0
144.b2	[0,0,0,-579,5362]	4 2 0
144.b3	[0,0,0,-219,-1190]	4 2 0
144.b4	[0,0,0,-39,70]	4 2 0
144.b5	[0,0,0,6,7]	4 2 0
144.b6	[0,0,0,141,-4718]	4 2 0
162.a1	[1,-1,0,-6,8]	1 4 0
162.a2	[1,-1,0,39,-19]	1 4 0
162.b1	[1,-1,0,-1077,13877]	1 4 0
162.b2	[1,-1,0,-852,19664]	1 4 0
162.b3	[1,-1,0,-42,-100]	1 4 0
162.b4	[1,-1,0,3,-1]	1 4 0
162.c1	[1,-1,1,-9695,-364985]	1 4 0
162.c2	[1,-1,1,-95,-697]	1 4 0
162.c3	[1,-1,1,-5,5]	1 4 0
162.c4	[1,-1,1,25,1]	1 4 0
162.d1	[1,-1,1,-56,-161]	1 4 0
162.d2	[1,-1,1,4,-1]	1 4 0
176.a1	[0,-1,0,-77,289]	4 0 1
176.a2	[0,-1,0,3,1]	4 0 1
176.b1	[0,1,0,-125125,16994227]	4 0 1
176.b2	[0,1,0,-165,1427]	4 0 1
176.b3	[0,1,0,-5,-13]	4 0 1
176.c1	[0,0,0,-4,-4]	4 0 1
192.a1	[0,-1,0,-129,609]	6 1 0
192.a2	[0,-1,0,-9,9]	6 1 0
192.a3	[0,-1,0,-4,-2]	6 1 0
192.a4	[0,-1,0,31,33]	6 1 0
192.b1	[0,-1,0,-1537,23713]	6 1 0
192.b2	[0,-1,0,-257,-1503]	6 1 0
192.b3	[0,-1,0,-97,385]	6 1 0
192.b4	[0,-1,0,-17,-15]	6 1 0
192.b5	[0,-1,0,3,-3]	6 1 0
192.b6	[0,-1,0,63,1377]	6 1 0
192.c1	[0,1,0,-129,-609]	6 1 0
192.c2	[0,1,0,-9,-9]	6 1 0
192.c3	[0,1,0,-4,2]	6 1 0
192.c4	[0,1,0,31,-33]	6 1 0
192.d1	[0,1,0,-1537,-23713]	6 1 0
192.d2	[0,1,0,-257,1503]	6 1 0
192.d3	[0,1,0,-97,-385]	6 1 0
192.d4	[0,1,0,-17,15]	6 1 0
192.d5	[0,1,0,3,3]	6 1 0
192.d6	[0,1,0,63,-1377]	6 1 0
198.a1	[1,-1,0,-3168,69430]	1 2 1
198.a2	[1,-1,0,-198,1120]	1 2 1
198.a3	[1,-1,0,-108,2074]	1 2 1
198.a4	[1,-1,0,-18,4]	1 2 1
198.b1	[1,-1,0,-9222,-338572]	1 2 1
198.b2	[1,-1,0,-582,-5068]	1 2 1
198.b3	[1,-1,0,-147,-135]	1 2 1
198.b4	[1,-1,0,-87,333]	1 2 1
198.c1	[1,-1,0,-90585,10516473]	1 2 1
198.c2	[1,-1,0,-90495,10538343]	1 2 1
198.c3	[1,-1,0,-405,-2187]	1 2 1
198.c4	[1,-1,0,1035,-15147]	1 2 1
198.d1	[1,-1,1,-1325,4969]	1 2 1
198.d2	[1,-1,1,-1025,12881]	1 2 1
198.d3	[1,-1,1,-785,-8207]	1 2 1
198.d4	[1,-1,1,-65,209]	1 2 1
198.e1	[1,-1,1,-725,7661]	1 2 1
198.e2	[1,-1,1,-365,15005]	1 2 1
198.e3	[1,-1,1,-50,-115]	1 2 1
198.e4	[1,-1,1,40,-547]	1 2 1
216.a1	[0,0,0,-12,20]	3 3 0
216.b1	[0,0,0,-3,-34]	3 3 0
216.c1	[0,0,0,-27,918]	3 3 0
216.d1	[0,0,0,-108,-540]	3 3 0
242.a1	[1,0,1,-6295,-197958]	1 0 2
242.a2	[1,0,1,360,-970]	1 0 2
242.b1	[1,0,0,-52,144]	1 0 2
242.b2	[1,0,0,3,1]	1 0 2
243.a1	[0,0,1,0,-1]	0 5 0
243.a2	[0,0,1,0,20]	0 5 0
243.b1	[0,0,1,0,-61]	0 5 0
243.b2	[0,0,1,0,2]	0 5 0
256.a1	[0,1,0,-13,-21]	8 0 0
256.a2	[0,1,0,-3,1]	8 0 0
256.b1	[0,0,0,-2,0]	8 0 0
256.b2	[0,0,0,8,0]	8 0 0
256.c1	[0,0,0,-8,0]	8 0 0
256.c2	[0,0,0,2,0]	8 0 0
256.d1	[0,-1,0,-13,21]	8 0 0
256.d2	[0,-1,0,-3,-1]	8 0 0
264.a1	[0,-1,0,-472,4108]	3 1 1
264.a2	[0,-1,0,-32,60]	3 1 1
264.a3	[0,-1,0,-12,-12]	3 1 1
264.a4	[0,-1,0,88,300]	3 1 1
264.b1	[0,1,0,-704,6960]	3 1 1
264.b2	[0,1,0,-104,-288]	3 1 1
264.b3	[0,1,0,-44,96]	3 1 1
264.b4	[0,1,0,1,6]	3 1 1
264.c1	[0,1,0,-8,0]	3 1 1
264.c2	[0,1,0,32,32]	3 1 1
264.d1	[0,1,0,-8016,-278928]	3 1 1
264.d2	[0,1,0,-7976,-281808]	3 1 1
288.a1	[0,0,0,-12,0]	5 2 0
288.a2	[0,0,0,3,0]	5 2 0
288.b1	[0,0,0,-291,-1910]	5 2 0
288.b2	[0,0,0,-156,736]	5 2 0
288.b3	[0,0,0,-21,-20]	5 2 0
288.b4	[0,0,0,69,-146]	5 2 0
288.c1	[0,0,0,-291,1910]	5 2 0
288.c2	[0,0,0,-156,-736]	5 2 0
288.c3	[0,0,0,-21,20]	5 2 0
288.c4	[0,0,0,69,146]	5 2 0
288.d1	[0,0,0,-99,-378]	5 2 0
288.d2	[0,0,0,-99,378]	5 2 0
288.d3	[0,0,0,-9,0]	5 2 0
288.d4	[0,0,0,36,0]	5 2 0
288.e1	[0,0,0,-108,0]	5 2 0
288.e2	[0,0,0,27,0]	5 2 0
297.a1	[0,0,1,-81,290]	0 3 1
297.b1	[1,-1,1,1,0]	0 3 1
297.c1	[1,-1,0,12,-19]	0 3 1
297.d1	[0,0,1,-9,-11]	0 3 1
324.a1	[0,0,0,-189,-999]	2 4 0
324.a2	[0,0,0,-9,9]	2 4 0
324.b1	[0,0,0,-39,94]	2 4 0
324.b2	[0,0,0,81,486]	2 4 0
324.c1	[0,0,0,-81,-243]	2 4 0
324.c2	[0,0,0,-21,37]	2 4 0
324.d1	[0,0,0,-351,-2538]	2 4 0
324.d2	[0,0,0,9,-18]	2 4 0
352.a1	[0,0,0,8,112]	5 0 1
352.b1	[0,-1,0,3,-11]	5 0 1
352.c1	[0,-1,0,-45,133]	5 0 1
352.d1	[0,1,0,3,11]	5 0 1
352.e1	[0,1,0,-45,-133]	5 0 1
352.f1	[0,0,0,8,-112]	5 0 1
363.a1	[0,-1,1,444,-826]	0 1 2
363.b1	[1,1,1,-17729,-915100]	0 1 2
363.b2	[1,1,1,-1394,-6874]	0 1 2
363.b3	[1,1,1,-789,8130]	0 1 2
363.b4	[1,1,1,5261,-46804]	0 1 2
363.c1	[0,-1,1,4,-1]	0 1 2
384.a1	[0,-1,0,-35,-69]	7 1 0
384.a2	[0,-1,0,-25,-119]	7 1 0
384.b1	[0,-1,0,-3,3]	7 1 0
384.b2	[0,-1,0,7,9]	7 1 0
384.c1	[0,-1,0,-13,-11]	7 1 0
384.c2	[0,-1,0,2,-2]	7 1 0
384.d1	[0,-1,0,-141,693]	7 1 0
384.d2	[0,-1,0,-6,18]	7 1 0
384.e1	[0,1,0,-35,69]	7 1 0
384.e2	[0,1,0,-25,119]	7 1 0
384.f1	[0,1,0,-13,11]	7 1 0
384.f2	[0,1,0,2,2]	7 1 0
384.g1	[0,1,0,-3,-3]	7 1 0
384.g2	[0,1,0,7,-9]	7 1 0
384.h1	[0,1,0,-141,-693]	7 1 0
384.h2	[0,1,0,-6,-18]	7 1 0
396.a1	[0,0,0,-111,214]	2 2 1
396.a2	[0,0,0,24,25]	2 2 1
396.b1	[0,0,0,-11631,-482794]	2 2 1
396.b2	[0,0,0,-696,-8215]	2 2 1
396.c1	[0,0,0,-696,7108]	2 2 1
396.c2	[0,0,0,24,52]	2 2 1
432.a1	[0,0,0,-12,-20]	4 3 0
432.b1	[0,0,0,-459,3834]	4 3 0
432.b2	[0,0,0,-219,-1654]	4 3 0
432.b3	[0,0,0,21,26]	4 3 0
432.c1	[0,0,0,-3,34]	4 3 0
432.d1	[0,0,0,0,-4]	4 3 0
432.d2	[0,0,0,0,108]	4 3 0
432.e1	[0,0,0,-4320,109296]	4 3 0
432.e2	[0,0,0,-480,-4048]	4 3 0
432.e3	[0,0,0,0,-16]	4 3 0
432.e4	[0,0,0,0,432]	4 3 0
432.f1	[0,0,0,-27,-918]	4 3 0
432.g1	[0,0,0,-1971,44658]	4 3 0
432.g2	[0,0,0,-51,-142]	4 3 0
432.g3	[0,0,0,189,-702]	4 3 0
432.h1	[0,0,0,-108,540]	4 3 0
484.a1	[0,1,0,-9357,347279]	2 0 2
484.a2	[0,1,0,323,2671]	2 0 2
486.a1	[1,-1,0,-96,386]	1 5 0
486.a2	[1,-1,0,-6,-4]	1 5 0
486.b1	[1,-1,0,-177,953]	1 5 0
486.b2	[1,-1,0,3,5]	1 5 0
486.c1	[1,-1,0,-258,-748]	1 5 0
486.c2	[1,-1,0,-123,557]	1 5 0
486.d1	[1,-1,1,-1109,-13931]	1 5 0
486.d2	[1,-1,1,-29,37]	1 5 0
486.e1	[1,-1,1,-20,-29]	1 5 0
486.e2	[1,-1,1,25,-161]	1 5 0
486.f1	[1,-1,1,-56,163]	1 5 0
486.f2	[1,-1,1,-11,-11]	1 5 0
528.a1	[0,-1,0,-161040,24927936]	4 1 1
528.a2	[0,-1,0,-160880,24979776]	4 1 1
528.a3	[0,-1,0,-720,-5184]	4 1 1
528.a4	[0,-1,0,1840,-35904]	4 1 1
528.b1	[0,-1,0,-704,-6960]	4 1 1
528.b2	[0,-1,0,-104,288]	4 1 1
528.b3	[0,-1,0,-44,-96]	4 1 1
528.b4	[0,-1,0,1,-6]	4 1 1
528.c1	[0,-1,0,-8,0]	4 1 1
528.c2	[0,-1,0,32,-32]	4 1 1
528.d1	[0,-1,0,-1288,18160]	4 1 1
528.d2	[0,-1,0,-648,35568]	4 1 1
528.d3	[0,-1,0,-88,-272]	4 1 1
528.d4	[0,-1,0,72,-1296]	4 1 1
528.e1	[0,-1,0,-12,12]	4 1 1
528.e2	[0,-1,0,3,0]	4 1 1
528.f1	[0,-1,0,-8016,278928]	4 1 1
528.f2	[0,-1,0,-7976,281808]	4 1 1
528.g1	[0,1,0,-2344,-44428]	4 1 1
528.g2	[0,1,0,-184,-364]	4 1 1
528.g3	[0,1,0,-104,372]	4 1 1
528.g4	[0,1,0,696,-2124]	4 1 1
528.h1	[0,1,0,-1292,-18312]	4 1 1
528.h2	[0,1,0,-77,-330]	4 1 1
528.i1	[0,1,0,-472,-4108]	4 1 1
528.i2	[0,1,0,-32,-60]	4 1 1
528.i3	[0,1,0,-12,12]	4 1 1
528.i4	[0,1,0,88,-300]	4 1 1
528.j1	[0,1,0,-5632,160820]	4 1 1
528.j2	[0,1,0,-352,2420]	4 1 1
528.j3	[0,1,0,-192,4788]	4 1 1
528.j4	[0,1,0,-32,-12]	4 1 1
576.a1	[0,0,0,-27,0]	6 2 0
576.a2	[0,0,0,108,0]	6 2 0
576.b1	[0,0,0,-13836,-626416]	6 2 0
576.b2	[0,0,0,-2316,42896]	6 2 0
576.b3	[0,0,0,-876,-9520]	6 2 0
576.b4	[0,0,0,-156,560]	6 2 0
576.b5	[0,0,0,24,56]	6 2 0
576.b6	[0,0,0,564,-37744]	6 2 0
576.c1	[0,0,0,-396,-3024]	6 2 0
576.c2	[0,0,0,-396,3024]	6 2 0
576.c3	[0,0,0,-36,0]	6 2 0
576.c4	[0,0,0,9,0]	6 2 0
576.d1	[0,0,0,-13836,626416]	6 2 0
576.d2	[0,0,0,-2316,-42896]	6 2 0
576.d3	[0,0,0,-876,9520]	6 2 0
576.d4	[0,0,0,-156,-560]	6 2 0
576.d5	[0,0,0,24,-56]	6 2 0
576.d6	[0,0,0,564,37744]	6 2 0
576.e1	[0,0,0,-540,-4752]	6 2 0
576.e2	[0,0,0,-60,176]	6 2 0
576.e3	[0,0,0,0,-216]	6 2 0
576.e4	[0,0,0,0,8]	6 2 0
576.f1	[0,0,0,-540,4752]	6 2 0
576.f2	[0,0,0,-60,-176]	6 2 0
576.f3	[0,0,0,0,-8]	6 2 0
576.f4	[0,0,0,0,216]	6 2 0
576.g1	[0,0,0,-1164,-15280]	6 2 0
576.g2	[0,0,0,-84,-160]	6 2 0
576.g3	[0,0,0,-39,92]	6 2 0
576.g4	[0,0,0,276,-1168]	6 2 0
576.h1	[0,0,0,-1164,15280]	6 2 0
576.h2	[0,0,0,-84,160]	6 2 0
576.h3	[0,0,0,-39,-92]	6 2 0
576.h4	[0,0,0,276,1168]	6 2 0
576.i1	[0,0,0,-3,0]	6 2 0
576.i2	[0,0,0,12,0]	6 2 0
594.a1	[1,-1,0,-4146,103796]	1 3 1
594.a2	[1,-1,0,-3201,151613]	1 3 1
594.b1	[1,-1,0,-153,4909]	1 3 1
594.c1	[1,-1,0,-18,36]	1 3 1
594.d1	[1,-1,0,-9,-9]	1 3 1
594.e1	[1,-1,1,-83,325]	1 3 1
594.f1	[1,-1,1,-1379,-131165]	1 3 1
594.g1	[1,-1,1,-164,-809]	1 3 1
594.h1	[1,-1,1,-461,-3691]	1 3 1
594.h2	[1,-1,1,-356,-5497]	1 3 1
648.a1	[0,0,0,-3,-1]	3 4 0
648.b1	[0,0,0,-3,14]	3 4 0
648.c1	[0,0,0,-27,27]	3 4 0
648.d1	[0,0,0,-27,-378]	3 4 0
704.a1	[0,0,0,2,-14]	6 0 1
704.b1	[0,0,0,-16,-32]	6 0 1
704.c1	[0,-1,0,-31281,2139919]	6 0 1
704.c2	[0,-1,0,-41,199]	6 0 1
704.c3	[0,-1,0,-1,-1]	6 0 1
704.d1	[0,-1,0,-11,-11]	6 0 1
704.e1	[0,-1,0,1,1]	6 0 1
704.f1	[0,-1,0,-309,-2003]	6 0 1
704.f2	[0,-1,0,11,-19]	6 0 1
704.g1	[0,1,0,-11,11]	6 0 1
704.h1	[0,1,0,-31281,-2139919]	6 0 1
704.h2	[0,1,0,-41,-199]	6 0 1
704.h3	[0,1,0,-1,1]	6 0 1
704.i1	[0,1,0,-309,2003]	6 0 1
704.i2	[0,1,0,11,19]	6 0 1
704.j1	[0,1,0,1,-1]	6 0 1
704.k1	[0,0,0,2,14]	6 0 1
704.l1	[0,0,0,-16,32]	6 0 1
726.a1	[1,1,0,21657,-1855179]	1 1 2
726.b1	[1,1,0,-475,-4187]	1 1 2
