label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,23]
32.a1	[0,0,0,-11,-14]	5 0
32.a2	[0,0,0,-11,14]	5 0
32.a3	[0,0,0,-1,0]	5 0
32.a4	[0,0,0,4,0]	5 0
46.a1	[1,-1,0,-170,-812]	1 1
46.a2	[1,-1,0,-10,-12]	1 1
64.a1	[0,0,0,-44,-112]	6 0
64.a2	[0,0,0,-44,112]	6 0
64.a3	[0,0,0,-4,0]	6 0
64.a4	[0,0,0,1,0]	6 0
92.a1	[0,0,0,-1,1]	2 1
92.b1	[0,1,0,-18,-43]	2 1
92.b2	[0,1,0,2,1]	2 1
128.a1	[0,1,0,-9,7]	7 0
128.a2	[0,1,0,1,1]	7 0
128.b1	[0,1,0,-2,-2]	7 0
128.b2	[0,1,0,3,-5]	7 0
128.c1	[0,-1,0,-9,-7]	7 0
128.c2	[0,-1,0,1,-1]	7 0
128.d1	[0,-1,0,-2,2]	7 0
128.d2	[0,-1,0,3,5]	7 0
184.a1	[0,-1,0,0,1]	3 1
184.b1	[0,-1,0,-4,5]	3 1
184.c1	[0,0,0,-35,62]	3 1
184.c2	[0,0,0,5,6]	3 1
184.d1	[0,0,0,-55,-157]	3 1
256.a1	[0,1,0,-13,-21]	8 0
256.a2	[0,1,0,-3,1]	8 0
256.b1	[0,0,0,-2,0]	8 0
256.b2	[0,0,0,8,0]	8 0
256.c1	[0,0,0,-8,0]	8 0
256.c2	[0,0,0,2,0]	8 0
256.d1	[0,-1,0,-13,21]	8 0
256.d2	[0,-1,0,-3,-1]	8 0
368.a1	[0,0,0,-55,157]	4 1
368.b1	[0,-1,0,-18,43]	4 1
368.b2	[0,-1,0,2,-1]	4 1
368.c1	[0,0,0,-35,-62]	4 1
368.c2	[0,0,0,5,-6]	4 1
368.d1	[0,0,0,-2723,54690]	4 1
368.d2	[0,0,0,-163,930]	4 1
368.e1	[0,1,0,0,-1]	4 1
368.f1	[0,1,0,-4,-5]	4 1
368.g1	[0,0,0,-1,-1]	4 1
1058.a1	[1,0,1,-115,462]	1 2
1058.a2	[1,0,1,0,2]	1 2
1058.b1	[1,0,1,-60582,-5745352]	1 2
1058.b2	[1,0,1,253,-26862]	1 2
1058.c1	[1,-1,0,-90029,10419589]	1 2
1058.c2	[1,-1,0,-5389,178149]	1 2
1058.d1	[1,-1,0,-628,6224]	1 2
1058.e1	[1,-1,0,-332311,-73733731]	1 2
1472.a1	[0,0,0,-220,-1256]	6 1
1472.b1	[0,0,0,-4,-8]	6 1
1472.c1	[0,-1,0,-73,-271]	6 1
1472.c2	[0,-1,0,7,1]	6 1
1472.d1	[0,-1,0,-17,-23]	6 1
1472.e1	[0,-1,0,-1,-7]	6 1
1472.f1	[0,0,0,-10892,-437520]	6 1
1472.f2	[0,0,0,-652,-7440]	6 1
1472.g1	[0,0,0,-10892,437520]	6 1
1472.g2	[0,0,0,-652,7440]	6 1
1472.h1	[0,0,0,-140,-496]	6 1
1472.h2	[0,0,0,20,-48]	6 1
1472.i1	[0,0,0,-140,496]	6 1
1472.i2	[0,0,0,20,48]	6 1
1472.j1	[0,1,0,-73,271]	6 1
1472.j2	[0,1,0,7,-1]	6 1
1472.k1	[0,1,0,-17,23]	6 1
1472.l1	[0,1,0,-1,7]	6 1
1472.m1	[0,0,0,-220,1256]	6 1
1472.n1	[0,0,0,-4,8]	6 1
2116.a1	[0,0,0,-529,-12167]	2 2
2116.b1	[0,0,0,-23,46]	2 2
2116.c1	[0,0,0,-12167,-559682]	2 2
2116.d1	[0,1,0,-9698,446045]	2 2
2116.d2	[0,1,0,882,-4663]	2 2
2944.a1	[0,1,0,-125,-581]	7 1
2944.a2	[0,1,0,-10,-6]	7 1
2944.b1	[0,1,0,-41,7]	7 1
2944.b2	[0,1,0,-31,57]	7 1
2944.c1	[0,-1,0,-125,581]	7 1
2944.c2	[0,-1,0,-10,6]	7 1
2944.d1	[0,-1,0,-41,-7]	7 1
2944.d2	[0,-1,0,-31,-57]	7 1
4232.a1	[0,-1,0,4056,-239735]	3 2
4232.b1	[0,-1,0,4056,599788]	3 2
4232.c1	[0,-1,0,8,-52]	3 2
4232.d1	[0,-1,0,8,17]	3 2
4232.e1	[0,-1,0,-2292,-42947]	3 2
4232.f1	[0,-1,0,-176,-11207]	3 2
4232.g1	[0,0,0,-18515,-754354]	3 2
4232.g2	[0,0,0,2645,-73002]	3 2
4232.h1	[0,-1,0,-176,-1156]	3 2
4232.i1	[0,-1,0,-93280,14810844]	3 2
4232.j1	[0,0,0,-29095,1910219]	3 2
5888.a1	[0,0,0,-32456,2248064]	8 1
5888.a2	[0,0,0,-32446,2249520]	8 1
5888.b1	[0,0,0,-32456,-2248064]	8 1
5888.b2	[0,0,0,-32446,-2249520]	8 1
5888.c1	[0,0,0,-129784,-17996160]	8 1
5888.c2	[0,0,0,-8114,-281008]	8 1
5888.d1	[0,0,0,-129784,17996160]	8 1
5888.d2	[0,0,0,-8114,281008]	8 1
8464.a1	[0,0,0,-10051,-388286]	4 2
8464.b1	[0,0,0,-29095,-1910219]	4 2
8464.c1	[0,0,0,-5316979,4724275762]	4 2
8464.d1	[0,1,0,-176,1156]	4 2
8464.e1	[0,1,0,-93280,-14810844]	4 2
8464.f1	[0,-1,0,-9698,-446045]	4 2
8464.f2	[0,-1,0,882,4663]	4 2
8464.g1	[0,0,0,-1440467,-665413230]	4 2
8464.g2	[0,0,0,-86227,-11315310]	4 2
8464.h1	[0,0,0,-23,-46]	4 2
8464.i1	[0,0,0,-18515,754354]	4 2
8464.i2	[0,0,0,2645,73002]	4 2
8464.j1	[0,0,0,-12167,559682]	4 2
8464.k1	[0,1,0,4056,-599788]	4 2
8464.l1	[0,1,0,4056,239735]	4 2
8464.m1	[0,1,0,-2292,42947]	4 2
8464.n1	[0,1,0,8,-17]	4 2
8464.o1	[0,1,0,8,52]	4 2
8464.p1	[0,1,0,-176,11207]	4 2
8464.q1	[0,-1,0,-1832,-29584]	4 2
8464.q2	[0,-1,0,8,-144]	4 2
8464.r1	[0,-1,0,-969304,367702512]	4 2
8464.r2	[0,-1,0,4056,1719152]	4 2
8464.s1	[0,0,0,-529,12167]	4 2
16928.a1	[0,1,0,16223,337071]	5 2
16928.b1	[0,1,0,31,-17]	5 2
16928.c1	[0,0,0,-92,0]	5 2
16928.c2	[0,0,0,23,0]	5 2
16928.d1	[0,0,0,-5819,-170338]	5 2
16928.d2	[0,0,0,-5819,170338]	5 2
16928.d3	[0,0,0,-529,0]	5 2
16928.d4	[0,0,0,2116,0]	5 2
16928.e1	[0,0,0,-48668,0]	5 2
16928.e2	[0,0,0,12167,0]	5 2
16928.f1	[0,-1,0,16223,-337071]	5 2
16928.g1	[0,-1,0,31,17]	5 2
33856.a1	[0,0,0,-2116,97336]	6 2
33856.b1	[0,0,0,-21267916,-37794206096]	6 2
33856.c1	[0,0,0,-116380,15281752]	6 2
33856.d1	[0,0,0,-40204,3106288]	6 2
33856.e1	[0,1,0,-3877217,2937742879]	6 2
33856.e2	[0,1,0,16223,13769439]	6 2
33856.f1	[0,1,0,8,6]	6 2
33856.g1	[0,1,0,-373121,118113631]	6 2
33856.h1	[0,1,0,-705,-9953]	6 2
33856.i1	[0,1,0,4056,-40106]	6 2
33856.j1	[0,1,0,-7329,-244001]	6 2
33856.j2	[0,1,0,31,-1121]	6 2
33856.k1	[0,-1,0,-705,90361]	6 2
