label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,23]
33856.l1	[0,-1,0,-9169,352745]	6 2
33856.m1	[0,-1,0,31,-167]	6 2
33856.n1	[0,-1,0,31,385]	6 2
33856.o1	[0,-1,0,-38793,3607153]	6 2
33856.o2	[0,-1,0,3527,-40831]	6 2
33856.p1	[0,-1,0,16223,-4814527]	6 2
33856.q1	[0,-1,0,16223,1901657]	6 2
33856.r1	[0,0,0,-12167,0]	6 2
33856.r2	[0,0,0,48668,0]	6 2
33856.s1	[0,0,0,-23276,-1362704]	6 2
33856.s2	[0,0,0,-23276,1362704]	6 2
33856.s3	[0,0,0,-2116,0]	6 2
33856.s4	[0,0,0,529,0]	6 2
33856.t1	[0,0,0,-48668,4477456]	6 2
33856.u1	[0,0,0,-48668,-4477456]	6 2
33856.v1	[0,0,0,-74060,-6034832]	6 2
33856.v2	[0,0,0,10580,-584016]	6 2
33856.w1	[0,0,0,-74060,6034832]	6 2
33856.w2	[0,0,0,10580,584016]	6 2
33856.x1	[0,0,0,-92,368]	6 2
33856.y1	[0,0,0,-92,-368]	6 2
33856.z1	[0,0,0,-5761868,-5323305840]	6 2
33856.z2	[0,0,0,-344908,-90522480]	6 2
33856.ba1	[0,0,0,-23,0]	6 2
33856.ba2	[0,0,0,92,0]	6 2
33856.bb1	[0,0,0,-5761868,5323305840]	6 2
33856.bb2	[0,0,0,-344908,90522480]	6 2
33856.bc1	[0,1,0,-705,-90361]	6 2
33856.bd1	[0,1,0,31,-385]	6 2
33856.be1	[0,1,0,31,167]	6 2
33856.bf1	[0,1,0,-9169,-352745]	6 2
33856.bg1	[0,1,0,-38793,-3607153]	6 2
33856.bg2	[0,1,0,3527,40831]	6 2
33856.bh1	[0,1,0,16223,-1901657]	6 2
33856.bi1	[0,1,0,16223,4814527]	6 2
33856.bj1	[0,-1,0,8,-6]	6 2
33856.bk1	[0,-1,0,-3877217,-2937742879]	6 2
33856.bk2	[0,-1,0,16223,-13769439]	6 2
33856.bl1	[0,-1,0,-373121,-118113631]	6 2
33856.bm1	[0,-1,0,-705,9953]	6 2
33856.bn1	[0,-1,0,-7329,244001]	6 2
33856.bn2	[0,-1,0,31,1121]	6 2
33856.bo1	[0,-1,0,4056,40106]	6 2
33856.bp1	[0,0,0,-21267916,37794206096]	6 2
33856.bq1	[0,0,0,-2116,-97336]	6 2
33856.br1	[0,0,0,-116380,-15281752]	6 2
33856.bs1	[0,0,0,-40204,-3106288]	6 2
67712.a1	[0,1,0,-21865,-259641]	7 2
67712.a2	[0,1,0,-16575,-825671]	7 2
67712.b1	[0,1,0,-1234,14910]	7 2
67712.b2	[0,1,0,1411,72571]	7 2
67712.c1	[0,1,0,-4937,-124217]	7 2
67712.c2	[0,1,0,353,-8895]	7 2
67712.d1	[0,1,0,-66301,6539067]	7 2
67712.d2	[0,1,0,-5466,29722]	7 2
67712.e1	[0,-1,0,-117614,15565198]	7 2
67712.f1	[0,-1,0,-889,10505]	7 2
67712.g1	[0,-1,0,-470457,-124051127]	7 2
67712.h1	[0,-1,0,-222,-1202]	7 2
67712.i1	[0,1,0,-889,-10505]	7 2
67712.j1	[0,1,0,-117614,-15565198]	7 2
67712.k1	[0,1,0,-222,1202]	7 2
67712.l1	[0,1,0,-470457,124051127]	7 2
67712.m1	[0,-1,0,-21865,259641]	7 2
67712.m2	[0,-1,0,-16575,825671]	7 2
67712.n1	[0,-1,0,-1234,-14910]	7 2
67712.n2	[0,-1,0,1411,-72571]	7 2
67712.o1	[0,-1,0,-4937,124217]	7 2
67712.o2	[0,-1,0,353,8895]	7 2
67712.p1	[0,-1,0,-66301,-6539067]	7 2
67712.p2	[0,-1,0,-5466,-29722]	7 2
135424.a1	[0,1,0,-7053,199531]	8 2
135424.a2	[0,1,0,-1763,-25823]	8 2
135424.b1	[0,-1,0,-32445,-3305819]	8 2
135424.c1	[0,-1,0,-15,-29]	8 2
135424.d1	[0,-1,0,-8111,417283]	8 2
135424.e1	[0,-1,0,-61,293]	8 2
135424.f1	[0,0,0,-4232,0]	8 2
135424.f2	[0,0,0,1058,0]	8 2
135424.g1	[0,0,0,-68655736,-218959278720]	8 2
135424.g2	[0,0,0,-4292306,-3419024336]	8 2
135424.h1	[0,0,0,-97336,0]	8 2
135424.h2	[0,0,0,24334,0]	8 2
135424.i1	[0,0,0,-46,0]	8 2
135424.i2	[0,0,0,184,0]	8 2
135424.j1	[0,0,0,-68655736,218959278720]	8 2
135424.j2	[0,0,0,-4292306,3419024336]	8 2
135424.k1	[0,0,0,-17169224,27352194688]	8 2
135424.k2	[0,0,0,-17163934,27369909840]	8 2
135424.l1	[0,0,0,-184,0]	8 2
135424.l2	[0,0,0,46,0]	8 2
135424.m1	[0,0,0,-24334,0]	8 2
135424.m2	[0,0,0,97336,0]	8 2
135424.n1	[0,0,0,-17169224,-27352194688]	8 2
135424.n2	[0,0,0,-17163934,-27369909840]	8 2
135424.o1	[0,0,0,-1058,0]	8 2
135424.o2	[0,0,0,4232,0]	8 2
135424.p1	[0,1,0,-15,29]	8 2
135424.q1	[0,1,0,-32445,3305819]	8 2
135424.r1	[0,1,0,-61,-293]	8 2
135424.s1	[0,1,0,-8111,-417283]	8 2
135424.t1	[0,-1,0,-7053,-199531]	8 2
135424.t2	[0,-1,0,-1763,25823]	8 2
