label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,13]
26.a1	[1,0,1,-460,-3830]	1 1
26.a2	[1,0,1,-5,-8]	1 1
26.a3	[1,0,1,0,0]	1 1
26.b1	[1,-1,1,-213,-1257]	1 1
26.b2	[1,-1,1,-3,3]	1 1
32.a1	[0,0,0,-11,-14]	5 0
32.a2	[0,0,0,-11,14]	5 0
32.a3	[0,0,0,-1,0]	5 0
32.a4	[0,0,0,4,0]	5 0
52.a1	[0,0,0,-4,-3]	2 1
52.a2	[0,0,0,1,-10]	2 1
64.a1	[0,0,0,-44,-112]	6 0
64.a2	[0,0,0,-44,112]	6 0
64.a3	[0,0,0,-4,0]	6 0
64.a4	[0,0,0,1,0]	6 0
104.a1	[0,1,0,-16,-32]	3 1
128.a1	[0,1,0,-9,7]	7 0
128.a2	[0,1,0,1,1]	7 0
128.b1	[0,1,0,-2,-2]	7 0
128.b2	[0,1,0,3,-5]	7 0
128.c1	[0,-1,0,-9,-7]	7 0
128.c2	[0,-1,0,1,-1]	7 0
128.d1	[0,-1,0,-2,2]	7 0
128.d2	[0,-1,0,3,5]	7 0
208.a1	[0,-1,0,-7352,245104]	4 1
208.a2	[0,-1,0,-72,496]	4 1
208.a3	[0,-1,0,8,-16]	4 1
208.b1	[0,-1,0,-16,32]	4 1
208.c1	[0,0,0,-4,3]	4 1
208.c2	[0,0,0,1,10]	4 1
208.d1	[0,0,0,-3403,83834]	4 1
208.d2	[0,0,0,-43,-166]	4 1
256.a1	[0,1,0,-13,-21]	8 0
256.a2	[0,1,0,-3,1]	8 0
256.b1	[0,0,0,-2,0]	8 0
256.b2	[0,0,0,8,0]	8 0
256.c1	[0,0,0,-8,0]	8 0
256.c2	[0,0,0,2,0]	8 0
256.d1	[0,-1,0,-13,21]	8 0
256.d2	[0,-1,0,-3,-1]	8 0
338.a1	[1,-1,0,-35944,-2868878]	1 2
338.a2	[1,-1,0,-454,5812]	1 2
338.b1	[1,1,0,-54421,4945517]	1 2
338.b2	[1,1,0,504,-13112]	1 2
338.c1	[1,-1,0,-389,-2859]	1 2
338.c2	[1,-1,0,1,1]	1 2
338.d1	[1,1,1,-322,2127]	1 2
338.d2	[1,1,1,3,-5]	1 2
338.e1	[1,-1,1,-65773,-6478507]	1 2
338.e2	[1,-1,1,137,2643]	1 2
338.f1	[1,0,0,-77659,-8336303]	1 2
338.f2	[1,0,0,-764,-16264]	1 2
338.f3	[1,0,0,81,467]	1 2
416.a1	[0,-1,0,0,4]	5 1
416.b1	[0,1,0,0,-4]	5 1
676.a1	[0,1,0,-88612,-10182444]	2 2
676.a2	[0,1,0,-732,-23516]	2 2
676.b1	[0,1,0,-524,-4796]	2 2
676.b2	[0,1,0,-4,-12]	2 2
676.c1	[0,0,0,-676,-6591]	2 2
676.c2	[0,0,0,169,-21970]	2 2
676.d1	[0,0,0,-28561,1856465]	2 2
676.e1	[0,0,0,-169,845]	2 2
832.a1	[0,0,0,-13612,670672]	6 1
832.a2	[0,0,0,-172,-1328]	6 1
832.b1	[0,-1,0,-1,-31]	6 1
832.c1	[0,-1,0,-65,-191]	6 1
832.d1	[0,-1,0,-29409,-1931423]	6 1
