label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,13]
832.d2	[0,-1,0,-289,-3679]	6 1
832.d3	[0,-1,0,31,97]	6 1
832.e1	[0,0,0,-16,-24]	6 1
832.e2	[0,0,0,4,-80]	6 1
832.f1	[0,0,0,-16,24]	6 1
832.f2	[0,0,0,4,80]	6 1
832.g1	[0,1,0,-1,31]	6 1
832.h1	[0,1,0,-65,191]	6 1
832.i1	[0,1,0,-29409,1931423]	6 1
832.i2	[0,1,0,-289,3679]	6 1
832.i3	[0,1,0,31,-97]	6 1
832.j1	[0,0,0,-13612,-670672]	6 1
832.j2	[0,0,0,-172,1328]	6 1
1352.a1	[0,1,0,-4,1]	3 2
1352.b1	[0,1,0,-2760,-59344]	3 2
1352.c1	[0,1,0,-732,5045]	3 2
1664.a1	[0,0,0,-4,16]	7 1
1664.b1	[0,0,0,-1,-2]	7 1
1664.c1	[0,1,0,-34,66]	7 1
1664.c2	[0,1,0,-29,91]	7 1
1664.d1	[0,1,0,-304649,-64823033]	7 1
1664.d2	[0,1,0,-19039,-1017759]	7 1
1664.e1	[0,1,0,-76162,8064798]	7 1
1664.e2	[0,1,0,-76157,8065915]	7 1
1664.f1	[0,1,0,-137,-665]	7 1
1664.f2	[0,1,0,-7,-15]	7 1
1664.g1	[0,-1,0,-46,-106]	7 1
1664.h1	[0,-1,0,39,169]	7 1
1664.i1	[0,-1,0,-185,1033]	7 1
1664.j1	[0,-1,0,10,-26]	7 1
1664.k1	[0,1,0,39,-169]	7 1
1664.l1	[0,1,0,-46,106]	7 1
1664.m1	[0,1,0,10,26]	7 1
1664.n1	[0,1,0,-185,-1033]	7 1
1664.o1	[0,-1,0,-304649,64823033]	7 1
1664.o2	[0,-1,0,-19039,1017759]	7 1
1664.p1	[0,-1,0,-34,-66]	7 1
1664.p2	[0,-1,0,-29,-91]	7 1
1664.q1	[0,-1,0,-137,665]	7 1
1664.q2	[0,-1,0,-7,15]	7 1
1664.r1	[0,-1,0,-76162,-8064798]	7 1
1664.r2	[0,-1,0,-76157,-8065915]	7 1
1664.s1	[0,0,0,-4,-16]	7 1
1664.t1	[0,0,0,-1,2]	7 1
2704.a1	[0,0,0,-28561,-1856465]	4 2
2704.b1	[0,0,0,-169,-845]	4 2
2704.c1	[0,-1,0,-4,-1]	4 2
2704.d1	[0,-1,0,-2760,59344]	4 2
2704.e1	[0,-1,0,-732,-5045]	4 2
2704.f1	[0,-1,0,-1242544,533523392]	4 2
2704.f2	[0,-1,0,-12224,1040896]	4 2
2704.f3	[0,-1,0,1296,-29888]	4 2
2704.g1	[0,0,0,-676,6591]	4 2
2704.g2	[0,0,0,169,21970]	4 2
2704.h1	[0,0,0,-1052363,415676794]	4 2
2704.h2	[0,0,0,2197,-171366]	4 2
2704.i1	[0,0,0,-6227,189202]	4 2
2704.i2	[0,0,0,13,-78]	4 2
2704.j1	[0,1,0,-5152,-146444]	4 2
2704.j2	[0,1,0,48,404]	4 2
2704.k1	[0,1,0,-870744,-318254572]	4 2
2704.k2	[0,1,0,8056,855284]	4 2
2704.l1	[0,-1,0,-88612,10182444]	4 2
2704.l2	[0,-1,0,-732,23516]	4 2
2704.m1	[0,-1,0,-524,4796]	4 2
2704.m2	[0,-1,0,-4,12]	4 2
2704.n1	[0,0,0,-575107,184183298]	4 2
2704.n2	[0,0,0,-7267,-364702]	4 2
3328.a1	[0,0,0,-118,496]	8 1
3328.b1	[0,0,0,-472,-3968]	8 1
3328.c1	[0,-1,0,-7,-661]	8 1
3328.c2	[0,-1,0,-7,11]	8 1
3328.d1	[0,-1,0,19,-11]	8 1
3328.e1	[0,-1,0,5,-1]	8 1
3328.f1	[0,-1,0,-29,-59]	8 1
3328.f2	[0,-1,0,-29,5317]	8 1
3328.g1	[0,1,0,-7,-11]	8 1
3328.g2	[0,1,0,-7,661]	8 1
3328.h1	[0,1,0,19,11]	8 1
3328.i1	[0,1,0,5,1]	8 1
3328.j1	[0,1,0,-29,-5317]	8 1
3328.j2	[0,1,0,-29,59]	8 1
3328.k1	[0,0,0,-118,-496]	8 1
3328.l1	[0,0,0,-472,3968]	8 1
5408.a1	[0,0,0,-15379,-742586]	5 2
5408.b1	[0,0,0,-91,-338]	5 2
5408.c1	[0,1,0,-38081,3067663]	5 2
5408.d1	[0,1,0,-225,1327]	5 2
5408.e1	[0,-1,0,-56,8644]	5 2
5408.f1	[0,0,0,-2197,0]	5 2
5408.f2	[0,0,0,8788,0]	5 2
5408.g1	[0,0,0,-1859,-30758]	5 2
5408.g2	[0,0,0,-1859,30758]	5 2
5408.g3	[0,0,0,-169,0]	5 2
5408.g4	[0,0,0,676,0]	5 2
5408.h1	[0,0,0,-13,0]	5 2
5408.h2	[0,0,0,52,0]	5 2
5408.i1	[0,1,0,-56,-8644]	5 2
5408.j1	[0,-1,0,-38081,-3067663]	5 2
5408.k1	[0,-1,0,-225,-1327]	5 2
5408.l1	[0,0,0,-15379,742586]	5 2
5408.m1	[0,0,0,-91,338]	5 2
10816.a1	[0,0,0,-364,2704]	6 2
10816.b1	[0,0,0,-676,6760]	6 2
10816.c1	[0,0,0,-2300428,1473466384]	6 2
10816.c2	[0,0,0,-29068,-2917616]	6 2
10816.d1	[0,0,0,-114244,14851720]	6 2
10816.e1	[0,0,0,-61516,5940688]	6 2
10816.f1	[0,1,0,-2097,36271]	6 2
10816.f2	[0,1,0,-17,79]	6 2
10816.g1	[0,1,0,-56,-194]	6 2
10816.h1	[0,1,0,-9520,-388218]	6 2
10816.i1	[0,1,0,-354449,81105103]	6 2
10816.i2	[0,1,0,-2929,185199]	6 2
10816.j1	[0,-1,0,-3482977,-2542553599]	6 2
10816.j2	[0,-1,0,32223,6810049]	6 2
10816.k1	[0,-1,0,-4970177,-4263216959]	6 2
10816.k2	[0,-1,0,-48897,-8278271]	6 2
10816.k3	[0,-1,0,5183,233921]	6 2
10816.l1	[0,-1,0,-2929,43289]	6 2
10816.m1	[0,-1,0,-11041,-463711]	6 2
10816.n1	[0,-1,0,-225,-68927]	6 2
10816.o1	[0,-1,0,-17,25]	6 2
10816.p1	[0,-1,0,-20609,-1150943]	6 2
10816.p2	[0,-1,0,191,3041]	6 2
10816.q1	[0,0,0,-52,0]	6 2
10816.q2	[0,0,0,13,0]	6 2
10816.r1	[0,0,0,-7436,-246064]	6 2
10816.r2	[0,0,0,-7436,246064]	6 2
10816.r3	[0,0,0,-676,0]	6 2
10816.r4	[0,0,0,169,0]	6 2
10816.s1	[0,0,0,-24908,-1513616]	6 2
10816.s2	[0,0,0,52,624]	6 2
10816.t1	[0,0,0,-24908,1513616]	6 2
10816.t2	[0,0,0,52,-624]	6 2
10816.u1	[0,0,0,-4209452,3325414352]	6 2
10816.u2	[0,0,0,8788,-1370928]	6 2
10816.v1	[0,0,0,-4209452,-3325414352]	6 2
10816.v2	[0,0,0,8788,1370928]	6 2
10816.w1	[0,0,0,-2704,52728]	6 2
10816.w2	[0,0,0,676,175760]	6 2
10816.x1	[0,0,0,-2704,-52728]	6 2
10816.x2	[0,0,0,676,-175760]	6 2
10816.y1	[0,0,0,-8788,0]	6 2
10816.y2	[0,0,0,2197,0]	6 2
10816.z1	[0,1,0,-4970177,4263216959]	6 2
10816.z2	[0,1,0,-48897,8278271]	6 2
10816.z3	[0,1,0,5183,-233921]	6 2
10816.ba1	[0,1,0,-3482977,2542553599]	6 2
10816.ba2	[0,1,0,32223,-6810049]	6 2
10816.bb1	[0,1,0,-2929,-43289]	6 2
10816.bc1	[0,1,0,-11041,463711]	6 2
10816.bd1	[0,1,0,-225,68927]	6 2
10816.be1	[0,1,0,-17,-25]	6 2
10816.bf1	[0,1,0,-20609,1150943]	6 2
10816.bf2	[0,1,0,191,-3041]	6 2
10816.bg1	[0,-1,0,-2097,-36271]	6 2
10816.bg2	[0,-1,0,-17,-79]	6 2
10816.bh1	[0,-1,0,-56,194]	6 2
10816.bi1	[0,-1,0,-9520,388218]	6 2
10816.bj1	[0,-1,0,-354449,-81105103]	6 2
10816.bj2	[0,-1,0,-2929,-185199]	6 2
10816.bk1	[0,0,0,-364,-2704]	6 2
10816.bl1	[0,0,0,-676,-6760]	6 2
10816.bm1	[0,0,0,-2300428,-1473466384]	6 2
10816.bm2	[0,0,0,-29068,2917616]	6 2
10816.bn1	[0,0,0,-114244,-14851720]	6 2
10816.bo1	[0,0,0,-61516,-5940688]	6 2
21632.a1	[0,0,0,-169,-4394]	7 2
21632.b1	[0,0,0,-676,35152]	7 2
21632.c1	[0,1,0,-394,-2898]	7 2
21632.c2	[0,1,0,451,-12869]	7 2
21632.d1	[0,1,0,-23209,-1368249]	7 2
21632.d2	[0,1,0,-1239,-28079]	7 2
21632.e1	[0,1,0,-12871434,17769846862]	7 2
21632.e2	[0,1,0,-12870589,17772297531]	7 2
21632.f1	[0,1,0,9,1]	7 2
21632.g1	[0,1,0,5859,35803]	7 2
21632.h1	[0,1,0,35,27]	7 2
21632.i1	[0,1,0,1465,-3743]	7 2
21632.j1	[0,1,0,-51485737,-142210260633]	7 2
21632.j2	[0,1,0,-3217647,-2223146015]	7 2
21632.k1	[0,1,0,-5802,168130]	7 2
21632.k2	[0,1,0,-4957,219675]	7 2
21632.l1	[0,1,0,-1577,21607]	7 2
21632.l2	[0,1,0,113,1665]	7 2
21632.m1	[0,-1,0,1634,-50506]	7 2
21632.n1	[0,-1,0,-31321,2144297]	7 2
21632.o1	[0,-1,0,6535,397513]	7 2
21632.p1	[0,-1,0,-7830,-264122]	7 2
21632.q1	[0,0,0,-104,-416]	7 2
21632.r1	[0,0,0,-4394,114244]	7 2
21632.s1	[0,0,0,-4394,-114244]	7 2
21632.t1	[0,0,0,-104,416]	7 2
21632.u1	[0,0,0,-17576,913952]	7 2
21632.v1	[0,0,0,-26,-52]	7 2
21632.w1	[0,0,0,-26,52]	7 2
21632.x1	[0,0,0,-17576,-913952]	7 2
21632.y1	[0,1,0,-31321,-2144297]	7 2
21632.z1	[0,1,0,1634,50506]	7 2
21632.ba1	[0,1,0,-7830,264122]	7 2
21632.bb1	[0,1,0,6535,-397513]	7 2
21632.bc1	[0,-1,0,-12871434,-17769846862]	7 2
21632.bc2	[0,-1,0,-12870589,-17772297531]	7 2
21632.bd1	[0,-1,0,-23209,1368249]	7 2
21632.bd2	[0,-1,0,-1239,28079]	7 2
21632.be1	[0,-1,0,-394,2898]	7 2
21632.be2	[0,-1,0,451,12869]	7 2
21632.bf1	[0,-1,0,5859,-35803]	7 2
21632.bg1	[0,-1,0,9,-1]	7 2
21632.bh1	[0,-1,0,1465,3743]	7 2
21632.bi1	[0,-1,0,35,-27]	7 2
21632.bj1	[0,-1,0,-1577,-21607]	7 2
21632.bj2	[0,-1,0,113,-1665]	7 2
21632.bk1	[0,-1,0,-5802,-168130]	7 2
21632.bk2	[0,-1,0,-4957,-219675]	7 2
21632.bl1	[0,-1,0,-51485737,142210260633]	7 2
21632.bl2	[0,-1,0,-3217647,2223146015]	7 2
21632.bm1	[0,0,0,-169,4394]	7 2
21632.bn1	[0,0,0,-676,-35152]	7 2
43264.a1	[0,0,0,-79768,-8717696]	8 2
43264.b1	[0,0,0,-19942,1089712]	8 2
43264.c1	[0,1,0,-2253,-37205]	8 2
43264.c2	[0,1,0,-563,4369]	8 2
43264.d1	[0,-1,0,-4957,-149371]	8 2
43264.d2	[0,-1,0,-4957,11661701]	8 2
43264.e1	[0,-1,0,789,1039]	8 2
43264.f1	[0,-1,0,-6231,-187253]	8 2
43264.f2	[0,-1,0,9,-53]	8 2
43264.g1	[0,-1,0,-4212381,3329069509]	8 2
43264.g2	[0,-1,0,5859,878149]	8 2
43264.h1	[0,-1,0,-24925,1522949]	8 2
43264.h2	[0,-1,0,35,389]	8 2
43264.i1	[0,-1,0,-1053095,-415607141]	8 2
43264.i2	[0,-1,0,1465,-110501]	8 2
43264.j1	[0,-1,0,3155,-11467]	8 2
43264.k1	[0,-1,0,-1239,-1457093]	8 2
43264.k2	[0,-1,0,-1239,19291]	8 2
43264.l1	[0,0,0,-1352,0]	8 2
43264.l2	[0,0,0,338,0]	8 2
43264.m1	[0,0,0,-17576,0]	8 2
43264.m2	[0,0,0,4394,0]	8 2
43264.n1	[0,0,0,-26,0]	8 2
43264.n2	[0,0,0,104,0]	8 2
43264.o1	[0,0,0,-104,0]	8 2
43264.o2	[0,0,0,26,0]	8 2
43264.p1	[0,0,0,-4394,0]	8 2
43264.p2	[0,0,0,17576,0]	8 2
43264.q1	[0,0,0,-338,0]	8 2
43264.q2	[0,0,0,1352,0]	8 2
43264.r1	[0,1,0,-4957,-11661701]	8 2
43264.r2	[0,1,0,-4957,149371]	8 2
43264.s1	[0,1,0,-4212381,-3329069509]	8 2
43264.s2	[0,1,0,5859,-878149]	8 2
43264.t1	[0,1,0,-6231,187253]	8 2
43264.t2	[0,1,0,9,53]	8 2
43264.u1	[0,1,0,789,-1039]	8 2
43264.v1	[0,1,0,3155,11467]	8 2
43264.w1	[0,1,0,-1053095,415607141]	8 2
43264.w2	[0,1,0,1465,110501]	8 2
43264.x1	[0,1,0,-24925,-1522949]	8 2
43264.x2	[0,1,0,35,-389]	8 2
43264.y1	[0,1,0,-1239,-19291]	8 2
43264.y2	[0,1,0,-1239,1457093]	8 2
43264.z1	[0,-1,0,-2253,37205]	8 2
43264.z2	[0,-1,0,-563,-4369]	8 2
43264.ba1	[0,0,0,-79768,8717696]	8 2
43264.bb1	[0,0,0,-19942,-1089712]	8 2
