label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
288.b4	[0,0,0,69,-146]	5 2
288.c1	[0,0,0,-291,1910]	5 2
288.c2	[0,0,0,-156,-736]	5 2
288.c3	[0,0,0,-21,20]	5 2
288.c4	[0,0,0,69,146]	5 2
288.d1	[0,0,0,-99,-378]	5 2
288.d2	[0,0,0,-99,378]	5 2
288.d3	[0,0,0,-9,0]	5 2
288.d4	[0,0,0,36,0]	5 2
288.e1	[0,0,0,-108,0]	5 2
288.e2	[0,0,0,27,0]	5 2
324.a1	[0,0,0,-189,-999]	2 4
324.a2	[0,0,0,-9,9]	2 4
324.b1	[0,0,0,-39,94]	2 4
324.b2	[0,0,0,81,486]	2 4
324.c1	[0,0,0,-81,-243]	2 4
324.c2	[0,0,0,-21,37]	2 4
324.d1	[0,0,0,-351,-2538]	2 4
324.d2	[0,0,0,9,-18]	2 4
384.a1	[0,-1,0,-35,-69]	7 1
384.a2	[0,-1,0,-25,-119]	7 1
384.b1	[0,-1,0,-3,3]	7 1
384.b2	[0,-1,0,7,9]	7 1
384.c1	[0,-1,0,-13,-11]	7 1
384.c2	[0,-1,0,2,-2]	7 1
384.d1	[0,-1,0,-141,693]	7 1
384.d2	[0,-1,0,-6,18]	7 1
384.e1	[0,1,0,-35,69]	7 1
384.e2	[0,1,0,-25,119]	7 1
384.f1	[0,1,0,-13,11]	7 1
384.f2	[0,1,0,2,2]	7 1
384.g1	[0,1,0,-3,-3]	7 1
384.g2	[0,1,0,7,-9]	7 1
384.h1	[0,1,0,-141,-693]	7 1
384.h2	[0,1,0,-6,-18]	7 1
432.a1	[0,0,0,-12,-20]	4 3
432.b1	[0,0,0,-459,3834]	4 3
432.b2	[0,0,0,-219,-1654]	4 3
432.b3	[0,0,0,21,26]	4 3
432.c1	[0,0,0,-3,34]	4 3
432.d1	[0,0,0,0,-4]	4 3
432.d2	[0,0,0,0,108]	4 3
432.e1	[0,0,0,-4320,109296]	4 3
432.e2	[0,0,0,-480,-4048]	4 3
432.e3	[0,0,0,0,-16]	4 3
432.e4	[0,0,0,0,432]	4 3
432.f1	[0,0,0,-27,-918]	4 3
432.g1	[0,0,0,-1971,44658]	4 3
432.g2	[0,0,0,-51,-142]	4 3
432.g3	[0,0,0,189,-702]	4 3
432.h1	[0,0,0,-108,540]	4 3
486.a1	[1,-1,0,-96,386]	1 5
486.a2	[1,-1,0,-6,-4]	1 5
486.b1	[1,-1,0,-177,953]	1 5
486.b2	[1,-1,0,3,5]	1 5
486.c1	[1,-1,0,-258,-748]	1 5
486.c2	[1,-1,0,-123,557]	1 5
486.d1	[1,-1,1,-1109,-13931]	1 5
486.d2	[1,-1,1,-29,37]	1 5
486.e1	[1,-1,1,-20,-29]	1 5
