label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3]
10368.n1	[0,0,0,-1098,-14004]	7 4
10368.o1	[0,0,0,-648,7776]	7 4
10368.p1	[0,0,0,-18,-36]	7 4
10368.q1	[0,0,0,-72,288]	7 4
10368.r1	[0,0,0,-162,-972]	7 4
10368.s1	[0,0,0,-4392,112032]	7 4
10368.t1	[0,0,0,-9882,-378108]	7 4
10368.u1	[0,0,0,-4392,-112032]	7 4
10368.v1	[0,0,0,-9882,378108]	7 4
10368.w1	[0,0,0,-72,-288]	7 4
10368.x1	[0,0,0,-162,972]	7 4
10368.y1	[0,0,0,-324,-3888]	7 4
10368.z1	[0,0,0,-9,18]	7 4
10368.ba1	[0,0,0,-324,3888]	7 4
10368.bb1	[0,0,0,-9,-18]	7 4
10368.bc1	[0,0,0,54,-108]	7 4
10368.bd1	[0,0,0,24,32]	7 4
10368.be1	[0,0,0,54,108]	7 4
10368.bf1	[0,0,0,24,-32]	7 4
15552.a1	[0,0,0,-972,-19440]	6 5
15552.b1	[0,0,0,-162,-810]	6 5
15552.c1	[0,0,0,-162,810]	6 5
15552.d1	[0,0,0,-972,19440]	6 5
15552.e1	[0,0,0,-16524,-416016]	6 5
15552.e2	[0,0,0,-7884,269424]	6 5
15552.f1	[0,0,0,-3564,-76464]	6 5
15552.f2	[0,0,0,-684,6864]	6 5
15552.g1	[0,0,0,-3564,76464]	6 5
15552.g2	[0,0,0,-684,-6864]	6 5
15552.h1	[0,0,0,-16524,416016]	6 5
15552.h2	[0,0,0,-7884,-269424]	6 5
15552.i1	[0,0,0,-216,1224]	6 5
15552.j1	[0,0,0,324,-1296]	6 5
15552.k1	[0,0,0,-36,-96]	6 5
15552.l1	[0,0,0,-1296,-18144]	6 5
15552.m1	[0,0,0,-1296,18144]	6 5
15552.n1	[0,0,0,-36,96]	6 5
15552.o1	[0,0,0,324,1296]	6 5
15552.p1	[0,0,0,-216,-1224]	6 5
15552.q1	[0,0,0,-21708,1231056]	6 5
15552.r1	[0,0,0,-108,144]	6 5
15552.s1	[0,0,0,-108,336]	6 5
15552.t1	[0,0,0,-108,-336]	6 5
15552.u1	[0,0,0,-108,-144]	6 5
15552.v1	[0,0,0,-21708,-1231056]	6 5
15552.w1	[0,0,0,0,-648]	6 5
15552.w2	[0,0,0,0,24]	6 5
15552.x1	[0,0,0,0,-18]	6 5
15552.x2	[0,0,0,0,486]	6 5
15552.y1	[0,0,0,0,-7776]	6 5
15552.y2	[0,0,0,0,288]	6 5
15552.z1	[0,0,0,0,-6]	6 5
15552.z2	[0,0,0,0,162]	6 5
15552.ba1	[0,0,0,-1260,-17232]	6 5
15552.ba2	[0,0,0,1620,-79056]	6 5
15552.bb1	[0,0,0,0,-96]	6 5
15552.bb2	[0,0,0,0,2592]	6 5
15552.bc1	[0,0,0,0,-1944]	6 5
15552.bc2	[0,0,0,0,72]	6 5
15552.bd1	[0,0,0,-11340,465264]	6 5
15552.bd2	[0,0,0,180,2928]	6 5
15552.be1	[0,0,0,-11340,-465264]	6 5
15552.be2	[0,0,0,180,-2928]	6 5
15552.bf1	[0,0,0,0,-2592]	6 5
15552.bf2	[0,0,0,0,96]	6 5
15552.bg1	[0,0,0,0,-72]	6 5
15552.bg2	[0,0,0,0,1944]	6 5
15552.bh1	[0,0,0,-1260,17232]	6 5
15552.bh2	[0,0,0,1620,79056]	6 5
15552.bi1	[0,0,0,0,-288]	6 5
15552.bi2	[0,0,0,0,7776]	6 5
15552.bj1	[0,0,0,0,-162]	6 5
15552.bj2	[0,0,0,0,6]	6 5
15552.bk1	[0,0,0,0,-24]	6 5
15552.bk2	[0,0,0,0,648]	6 5
15552.bl1	[0,0,0,0,-486]	6 5
15552.bl2	[0,0,0,0,18]	6 5
15552.bm1	[0,0,0,-195372,-33238512]	6 5
15552.bn1	[0,0,0,-972,-3888]	6 5
15552.bo1	[0,0,0,-972,9072]	6 5
15552.bp1	[0,0,0,-972,-9072]	6 5
15552.bq1	[0,0,0,-972,3888]	6 5
15552.br1	[0,0,0,-195372,33238512]	6 5
15552.bs1	[0,0,0,36,48]	6 5
15552.bt1	[0,0,0,-1944,-33048]	6 5
15552.bu1	[0,0,0,-324,2592]	6 5
15552.bv1	[0,0,0,-144,-672]	6 5
15552.bw1	[0,0,0,-144,672]	6 5
15552.bx1	[0,0,0,-324,-2592]	6 5
15552.by1	[0,0,0,-1944,33048]	6 5
15552.bz1	[0,0,0,36,-48]	6 5
15552.ca1	[0,0,0,-70956,-7274448]	6 5
15552.ca2	[0,0,0,-1836,15408]	6 5
15552.cb1	[0,0,0,-6156,-185328]	6 5
15552.cb2	[0,0,0,-396,2832]	6 5
15552.cc1	[0,0,0,-6156,185328]	6 5
15552.cc2	[0,0,0,-396,-2832]	6 5
15552.cd1	[0,0,0,-70956,7274448]	6 5
15552.cd2	[0,0,0,-1836,-15408]	6 5
15552.ce1	[0,0,0,-108,720]	6 5
15552.cf1	[0,0,0,-18,30]	6 5
15552.cg1	[0,0,0,-18,-30]	6 5
15552.ch1	[0,0,0,-108,-720]	6 5
20736.a1	[0,0,0,-97896,-11789504]	8 4
20736.a2	[0,0,0,24,64]	8 4
20736.b1	[0,0,0,-220266,39789576]	8 4
20736.b2	[0,0,0,54,-216]	8 4
20736.c1	[0,0,0,-97896,11789504]	8 4
20736.c2	[0,0,0,24,-64]	8 4
20736.d1	[0,0,0,-220266,-39789576]	8 4
20736.d2	[0,0,0,54,216]	8 4
20736.e1	[0,0,0,-270,-1728]	8 4
20736.f1	[0,0,0,-120,512]	8 4
20736.g1	[0,0,0,-30,64]	8 4
20736.h1	[0,0,0,-1080,-13824]	8 4
20736.i1	[0,0,0,-30,-64]	8 4
20736.j1	[0,0,0,-1080,13824]	8 4
20736.k1	[0,0,0,-270,1728]	8 4
20736.l1	[0,0,0,-120,-512]	8 4
20736.m1	[0,0,0,-881064,318316608]	8 4
20736.m2	[0,0,0,216,-1728]	8 4
20736.n1	[0,0,0,-24474,-1473688]	8 4
20736.n2	[0,0,0,6,8]	8 4
20736.o1	[0,0,0,-881064,-318316608]	8 4
20736.o2	[0,0,0,216,1728]	8 4
20736.p1	[0,0,0,-24474,1473688]	8 4
20736.p2	[0,0,0,6,-8]	8 4
31104.a1	[0,0,0,-324,1296]	7 5
31104.b1	[0,0,0,-9,-6]	7 5
31104.c1	[0,0,0,-9,6]	7 5
31104.d1	[0,0,0,-324,-1296]	7 5
31104.e1	[0,0,0,-36,-48]	7 5
31104.f1	[0,0,0,-81,162]	7 5
31104.g1	[0,0,0,-81,-162]	7 5
31104.h1	[0,0,0,-36,48]	7 5
62208.a1	[0,0,0,-54,144]	8 5
62208.b1	[0,0,0,-1944,-31104]	8 5
62208.c1	[0,0,0,-54,-144]	8 5
62208.d1	[0,0,0,-1944,31104]	8 5
62208.e1	[0,0,0,-1458,-21384]	8 5
62208.f1	[0,0,0,-648,6336]	8 5
62208.g1	[0,0,0,-648,5184]	8 5
62208.h1	[0,0,0,-18,-24]	8 5
62208.i1	[0,0,0,-648,-5184]	8 5
62208.j1	[0,0,0,-18,24]	8 5
62208.k1	[0,0,0,-1458,21384]	8 5
62208.l1	[0,0,0,-648,-6336]	8 5
62208.m1	[0,0,0,-162,792]	8 5
62208.n1	[0,0,0,-5832,-171072]	8 5
62208.o1	[0,0,0,-72,-192]	8 5
62208.p1	[0,0,0,-162,648]	8 5
62208.q1	[0,0,0,-72,192]	8 5
62208.r1	[0,0,0,-162,-648]	8 5
62208.s1	[0,0,0,-162,-792]	8 5
62208.t1	[0,0,0,-5832,171072]	8 5
62208.u1	[0,0,0,-486,-3888]	8 5
62208.v1	[0,0,0,-216,1152]	8 5
62208.w1	[0,0,0,-486,3888]	8 5
62208.x1	[0,0,0,-216,-1152]	8 5
