label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,5,7]
19200.bb1	[0,1,0,-179133,-12017637]	8 1 2 0
19200.bb2	[0,1,0,-147883,-21923887]	8 1 2 0
19200.bc1	[0,1,0,-64733,-6360837]	8 1 2 0
19200.bc2	[0,1,0,-3983,-103587]	8 1 2 0
19200.bc3	[0,1,0,-733,7163]	8 1 2 0
19200.bc4	[0,1,0,17,413]	8 1 2 0
19200.bd1	[0,1,0,-4333,5963]	8 1 2 0
19200.bd2	[0,1,0,-3083,64713]	8 1 2 0
19200.be1	[0,1,0,-1383,-9387]	8 1 2 0
19200.be2	[0,1,0,4867,-65637]	8 1 2 0
19200.bf1	[0,1,0,-7533,247563]	8 1 2 0
19200.bf2	[0,1,0,-783,-2187]	8 1 2 0
19200.bg1	[0,1,0,-31533,2119563]	8 1 2 0
19200.bg2	[0,1,0,-283,88313]	8 1 2 0
19200.bh1	[0,1,0,-7883,-268887]	8 1 2 0
19200.bh2	[0,1,0,-1133,-707637]	8 1 2 0
19200.bi1	[0,1,0,-9133,236363]	8 1 2 0
19200.bi2	[0,1,0,-8383,292613]	8 1 2 0
19200.bj1	[0,1,0,-493,4043]	8 1 2 0
19200.bj2	[0,1,0,-43,-7]	8 1 2 0
19200.bk1	[0,1,0,-1533,-22437]	8 1 2 0
19200.bk2	[0,1,0,-283,1313]	8 1 2 0
19200.bl1	[0,1,0,-591533,174799563]	8 1 2 0
19200.bl2	[0,1,0,-44783,1479813]	8 1 2 0
19200.bm1	[0,1,0,-16183,787013]	8 1 2 0
19200.bm2	[0,1,0,-15933,812763]	8 1 2 0
19200.bm3	[0,1,0,-183,-987]	8 1 2 0
19200.bm4	[0,1,0,67,-3237]	8 1 2 0
19200.bn1	[0,1,0,-12333,-530037]	8 1 2 0
19200.bn2	[0,1,0,-1083,-1287]	8 1 2 0
19200.bo1	[0,1,0,-5533,69563]	8 1 2 0
19200.bo2	[0,1,0,1217,8813]	8 1 2 0
19200.bp1	[0,1,0,-3133,14363]	8 1 2 0
19200.bp2	[0,1,0,-1883,-31887]	8 1 2 0
19200.bq1	[0,1,0,-583,5213]	8 1 2 0
19200.bq2	[0,1,0,-333,9963]	8 1 2 0
19200.br1	[0,1,0,-283,-1687]	8 1 2 0
19200.br2	[0,1,0,467,-8437]	8 1 2 0
19440.a1	[0,0,0,-606123,154830042]	4 5 1 0
19440.a2	[0,0,0,-580923,170422122]	4 5 1 0
19440.b1	[0,0,0,-243,6642]	4 5 1 0
19440.c1	[0,0,0,-243,-1422]	4 5 1 0
19440.d1	[0,0,0,-2403,-45342]	4 5 1 0
19440.d2	[0,0,0,-243,-122958]	4 5 1 0
19440.e1	[0,0,0,-9243,832458]	4 5 1 0
19440.e2	[0,0,0,80757,-19033542]	4 5 1 0
19440.f1	[0,0,0,-603,5898]	4 5 1 0
19440.f2	[0,0,0,2997,17658]	4 5 1 0
19440.g1	[0,0,0,-8163,-229038]	4 5 1 0
19440.h1	[0,0,0,-18,-33]	4 5 1 0
19440.i1	[0,0,0,432,1008]	4 5 1 0
19440.j1	[0,0,0,-36288,-2660688]	4 5 1 0
19440.j2	[0,0,0,-288,-6288]	4 5 1 0
19440.k1	[0,0,0,-175203,-28226718]	4 5 1 0
19440.k2	[0,0,0,-2403,-29598]	4 5 1 0
19440.l1	[0,0,0,-1863,-30942]	4 5 1 0
19440.l2	[0,0,0,-63,138]	4 5 1 0
19440.m1	[0,0,0,-5643,-169542]	4 5 1 0
19440.m2	[0,0,0,28917,-443718]	4 5 1 0
19440.n1	[0,0,0,-9963,372762]	4 5 1 0
19440.n2	[0,0,0,-1323,-18342]	4 5 1 0
19440.o1	[0,0,0,-243,-6318]	4 5 1 0
19440.p1	[0,0,0,-6723,-199422]	4 5 1 0
19440.q1	[0,0,0,-108,-468]	4 5 1 0
19440.r1	[0,0,0,162,1863]	4 5 1 0
19440.s1	[0,0,0,-243,162]	4 5 1 0
19440.t1	[0,0,0,-3483,-79542]	4 5 1 0
19440.t2	[0,0,0,117,-582]	4 5 1 0
19440.u1	[0,0,0,-5103,142398]	4 5 1 0
19440.v1	[0,0,0,-5228307,-4601397294]	4 5 1 0
19440.v2	[0,0,0,-67347,-5734446]	4 5 1 0
19440.w1	[0,0,0,-2187,38394]	4 5 1 0
19440.x1	[0,0,0,-27,-246]	4 5 1 0
19440.y1	[0,0,0,-5427,-159246]	4 5 1 0
19440.y2	[0,0,0,333,-654]	4 5 1 0
19440.z1	[0,0,0,-21627,1224234]	4 5 1 0
19440.z2	[0,0,0,-27,4554]	4 5 1 0
19440.ba1	[0,0,0,-83187,-22476366]	4 5 1 0
19440.ba2	[0,0,0,8973,704946]	4 5 1 0
19440.bb1	[0,0,0,-162,891]	4 5 1 0
19440.bc1	[0,0,0,-73467,6184026]	4 5 1 0
19440.bd1	[0,0,0,3888,-27216]	4 5 1 0
19440.be1	[0,0,0,-11907,495234]	4 5 1 0
19440.be2	[0,0,0,-1107,-13806]	4 5 1 0
19440.bf1	[0,0,0,-50787,4577634]	4 5 1 0
19440.bf2	[0,0,0,3213,16434]	4 5 1 0
19440.bg1	[0,0,0,-21627,799146]	4 5 1 0
19440.bg2	[0,0,0,-19467,1045434]	4 5 1 0
19440.bh1	[0,0,0,-567,-3726]	4 5 1 0
19440.bh2	[0,0,0,-207,1146]	4 5 1 0
19440.bi1	[0,0,0,-4032,98544]	4 5 1 0
19440.bi2	[0,0,0,-2592,169776]	4 5 1 0
19440.bj1	[0,0,0,-27,234]	4 5 1 0
19440.bk1	[0,0,0,-27,-6]	4 5 1 0
19440.bl1	[0,0,0,-972,12636]	4 5 1 0
19440.bm1	[0,0,0,18,-69]	4 5 1 0
19440.bn1	[0,0,0,-747,7386]	4 5 1 0
19440.bo1	[0,0,0,-387,2946]	4 5 1 0
19440.bo2	[0,0,0,1053,15714]	4 5 1 0
19440.bp1	[0,0,0,-567,-5274]	4 5 1 0
19600.a1	[0,0,0,-1960,34300]	4 0 2 2
19600.b1	[0,0,0,6125,-428750]	4 0 2 2
19600.c1	[0,0,0,-2800,-98000]	4 0 2 2
19600.d1	[0,0,0,12005,9243850]	4 0 2 2
19600.e1	[0,0,0,6125,-3368750]	4 0 2 2
19600.f1	[0,0,0,-175,-875]	4 0 2 2
19600.g1	[0,0,0,-52675,4653250]	4 0 2 2
19600.g2	[0,0,0,367325,-44150750]	4 0 2 2
19600.h1	[0,0,0,-8575,600250]	4 0 2 2
19600.i1	[0,0,0,39200,9089500]	4 0 2 2
19600.j1	[0,0,0,-140875,22003450]	4 0 2 2
19600.k1	[0,1,0,-408,5263]	4 0 2 2
19600.l1	[0,1,0,-408,1588]	4 0 2 2
19600.m1	[0,1,0,-500208,-74086412]	4 0 2 2
19600.n1	[0,1,0,-294408,43631188]	4 0 2 2
19600.n2	[0,1,0,48592,4529188]	4 0 2 2
19600.o1	[0,1,0,-196408,33439188]	4 0 2 2
19600.o2	[0,1,0,-408,119188]	4 0 2 2
19600.p1	[0,1,0,-3107008,3659399988]	4 0 2 2
19600.p2	[0,1,0,322992,-93020012]	4 0 2 2
19600.q1	[0,1,0,-120458,-16150037]	4 0 2 2
19600.q2	[0,1,0,2042,-102537]	4 0 2 2
19600.r1	[0,1,0,-1388,-47657]	4 0 2 2
19600.s1	[0,1,0,-143488,20855988]	4 0 2 2
19600.s2	[0,1,0,-6288,-163052]	4 0 2 2
19600.t1	[0,1,0,-73208,-7642412]	4 0 2 2
19600.t2	[0,1,0,-3208,57588]	4 0 2 2
19600.u1	[0,1,0,-49408,-4192812]	4 0 2 2
19600.u2	[0,1,0,-408,-174812]	4 0 2 2
19600.v1	[0,1,0,-1458,-22037]	4 0 2 2
19600.w1	[0,1,0,-2858,58183]	4 0 2 2
19600.x1	[0,1,0,-294408,-71616812]	4 0 2 2
19600.y1	[0,1,0,292,-1037]	4 0 2 2
19600.z1	[0,1,0,572,3303]	4 0 2 2
19600.ba1	[0,1,0,-476408,-126720812]	4 0 2 2
19600.ba2	[0,1,0,-28408,-2176812]	4 0 2 2
19600.bb1	[0,1,0,-1388,19228]	4 0 2 2
19600.bb2	[0,1,0,-163,-372]	4 0 2 2
19600.bc1	[0,-1,0,-1220508,519712012]	4 0 2 2
19600.bc2	[0,-1,0,1180492,2205214012]	4 0 2 2
19600.bd1	[0,-1,0,-986533,-376825063]	4 0 2 2
19600.bd2	[0,-1,0,-6533,-995063]	4 0 2 2
19600.be1	[0,-1,0,5367,-476363]	4 0 2 2
19600.bf1	[0,-1,0,-35688,-3634448]	4 0 2 2
19600.bf2	[0,-1,0,3512,66032]	4 0 2 2
19600.bg1	[0,-1,0,-408,-2813]	4 0 2 2
19600.bh1	[0,-1,0,-20008,-7307488]	4 0 2 2
19600.bi1	[0,-1,0,-163137088,-801950801728]	4 0 2 2
19600.bi2	[0,-1,0,-6288,211072]	4 0 2 2
19600.bj1	[0,-1,0,-83233208,292303684912]	4 0 2 2
19600.bj2	[0,-1,0,-3208,-75088]	4 0 2 2
19600.bk1	[0,-1,0,-8248,-286768]	4 0 2 2
19600.bl1	[0,-1,0,22867,-318863]	4 0 2 2
19600.bm1	[0,-1,0,327,54517]	4 0 2 2
19600.bn1	[0,-1,0,48592,25483312]	4 0 2 2
19600.bo1	[0,-1,0,-2460208,-1484481088]	4 0 2 2
19600.bo2	[0,-1,0,-10208,-4681088]	4 0 2 2
19600.bo3	[0,-1,0,-2368,54272]	4 0 2 2
19600.bo4	[0,-1,0,17232,-400448]	4 0 2 2
19600.bp1	[0,-1,0,-116293,15379757]	4 0 2 2
19600.bp2	[0,-1,0,1307,-25843]	4 0 2 2
19600.bq1	[0,-1,0,-3558,-80513]	4 0 2 2
19600.bq2	[0,-1,0,-58,-13]	4 0 2 2
19600.br1	[0,-1,0,-2574133,-1662031363]	4 0 2 2
19600.br2	[0,-1,0,-26133,1812637]	4 0 2 2
19600.br3	[0,-1,0,169867,-4655363]	4 0 2 2
19600.bs1	[0,-1,0,-148633,22147637]	4 0 2 2
19600.bt1	[0,-1,0,-13008,-615488]	4 0 2 2
19600.bt2	[0,-1,0,992,512]	4 0 2 2
19600.bu1	[0,0,0,-5246675,-4625440750]	4 0 2 2
19600.bu2	[0,0,0,-1718675,810423250]	4 0 2 2
19600.bu3	[0,0,0,-346675,-63540750]	4 0 2 2
19600.bu4	[0,0,0,45325,-5916750]	4 0 2 2
19600.bv1	[0,0,0,-131075,-18264750]	4 0 2 2
19600.bv2	[0,0,0,-8575,-257250]	4 0 2 2
19600.bv3	[0,0,0,-2450,42875]	4 0 2 2
19600.bv4	[0,0,0,15925,-1457750]	4 0 2 2
19600.bw1	[0,0,0,-728875,-239499750]	4 0 2 2
19600.bw2	[0,0,0,-42875,-4201750]	4 0 2 2
19600.bw3	[0,0,0,-14875,698250]	4 0 2 2
19600.bw4	[0,0,0,-875,12250]	4 0 2 2
19600.bx1	[0,0,0,-109235,13896050]	4 0 2 2
19600.bx2	[0,0,0,-35,-350]	4 0 2 2
19600.by1	[0,0,0,-133812875,-595793143750]	4 0 2 2
19600.by2	[0,0,0,-42875,15006250]	4 0 2 2
19600.bz1	[0,0,0,-2730875,1737006250]	4 0 2 2
19600.bz2	[0,0,0,-875,-43750]	4 0 2 2
19600.ca1	[0,0,0,-5352515,-4766345150]	4 0 2 2
19600.ca2	[0,0,0,-1715,120050]	4 0 2 2
19600.cb1	[0,0,0,30625,3215625]	4 0 2 2
19600.cc1	[0,0,0,1225,25725]	4 0 2 2
19600.cd1	[0,0,0,-3920,-94325]	4 0 2 2
19600.cd2	[0,0,0,-2695,-154350]	4 0 2 2
19600.ce1	[0,0,0,-98000,-11790625]	4 0 2 2
19600.ce2	[0,0,0,-67375,-19293750]	4 0 2 2
19600.cf1	[0,0,0,-42875,3246250]	4 0 2 2
19600.cg1	[0,0,0,-84035,-8907710]	4 0 2 2
19600.ch1	[0,0,0,-2100875,-1113463750]	4 0 2 2
19600.ci1	[0,0,0,-1715,25970]	4 0 2 2
19600.cj1	[0,0,0,-366275,85321250]	4 0 2 2
19600.cj2	[0,0,0,-72275,-5916750]	4 0 2 2
19600.cj3	[0,0,0,-23275,1286250]	4 0 2 2
19600.cj4	[0,0,0,1225,85750]	4 0 2 2
19600.ck1	[0,0,0,-6125,214375]	4 0 2 2
19600.cl1	[0,0,0,-245,1715]	4 0 2 2
19600.cm1	[0,1,0,-24908,-1522312]	4 0 2 2
19600.cm2	[0,1,0,24092,-6422312]	4 0 2 2
19600.cn1	[0,1,0,-20008,1004863]	4 0 2 2
19600.co1	[0,1,0,-892208,-456090412]	4 0 2 2
19600.co2	[0,1,0,87792,8429588]	4 0 2 2
19600.cp1	[0,1,0,262967,162866563]	4 0 2 2
19600.cq1	[0,1,0,-408,21188]	4 0 2 2
19600.cr1	[0,1,0,-4078427208,-100252007070412]	4 0 2 2
19600.cr2	[0,1,0,-157208,26069588]	4 0 2 2
19600.cs1	[0,1,0,-3329328,2337097748]	4 0 2 2
19600.cs2	[0,1,0,-128,-652]	4 0 2 2
19600.ct1	[0,1,0,8167,6830963]	4 0 2 2
19600.cu1	[0,1,0,467,1063]	4 0 2 2
19600.cv1	[0,1,0,-206208,-36258412]	4 0 2 2
19600.cw1	[0,1,0,992,-74012]	4 0 2 2
19600.cx1	[0,1,0,-174358,27964663]	4 0 2 2
19600.cx2	[0,1,0,-2858,10163]	4 0 2 2
19600.cy1	[0,1,0,-2907333,1916654963]	4 0 2 2
19600.cy2	[0,1,0,32667,-3165037]	4 0 2 2
19600.cz1	[0,1,0,-98408,-11915212]	4 0 2 2
19600.cz2	[0,1,0,-59208,6665588]	4 0 2 2
19600.cz3	[0,1,0,-408,-37612]	4 0 2 2
19600.cz4	[0,1,0,430792,-49194412]	4 0 2 2
19600.da1	[0,1,0,-3033,-65437]	4 0 2 2
19600.db1	[0,1,0,-1633,196363]	4 0 2 2
19600.dc1	[0,1,0,-637408,212387188]	4 0 2 2
19600.dc2	[0,1,0,48592,-272812]	4 0 2 2
19600.dd1	[0,-1,0,-10208,678287]	4 0 2 2
19600.de1	[0,-1,0,-6008,-125488]	4 0 2 2
19600.de2	[0,-1,0,992,-13488]	4 0 2 2
19600.df1	[0,-1,0,-20008,-584688]	4 0 2 2
19600.dg1	[0,-1,0,-10208,218912]	4 0 2 2
19600.dh1	[0,-1,0,-4818,-127273]	4 0 2 2
19600.dh2	[0,-1,0,82,-853]	4 0 2 2
19600.di1	[0,-1,0,-63408,-10650688]	4 0 2 2
19600.di2	[0,-1,0,6592,269312]	4 0 2 2
19600.dj1	[0,-1,0,-9624008,-11488889488]	4 0 2 2
19600.dj2	[0,-1,0,-20008,-40921488]	4 0 2 2
19600.dk1	[0,-1,0,-34708,-5887713]	4 0 2 2
19600.dl1	[0,-1,0,-53518208,-150677721088]	4 0 2 2
19600.dl2	[0,-1,0,-3342208,-2357465088]	4 0 2 2
19600.dl3	[0,-1,0,-696208,-183041088]	4 0 2 2
19600.dl4	[0,-1,0,-206208,36086912]	4 0 2 2
19600.dl5	[0,-1,0,-10208,806912]	4 0 2 2
19600.dl6	[0,-1,0,87792,-16833088]	4 0 2 2
19600.dm1	[0,-1,0,-50633,-4367488]	4 0 2 2
19600.dm2	[0,-1,0,-44508,-5469988]	4 0 2 2
19600.dm3	[0,-1,0,-1633,18012]	4 0 2 2
19600.dm4	[0,-1,0,4492,116012]	4 0 2 2
19600.dn1	[0,-1,0,-3587208,2614172912]	4 0 2 2
19600.dn2	[0,-1,0,-157208,-20067088]	4 0 2 2
19600.do1	[0,-1,0,-2928,-59968]	4 0 2 2
19600.do2	[0,-1,0,-128,512]	4 0 2 2
19600.dp1	[0,-1,0,-6008,210512]	4 0 2 2
19600.dq1	[0,-1,0,-71458,7415787]	4 0 2 2
19600.dr1	[0,-1,0,-58,-153]	4 0 2 2
19600.ds1	[0,-1,0,14292,384287]	4 0 2 2
19600.dt1	[0,-1,0,12,-13]	4 0 2 2
19600.du1	[0,-1,0,-34708,2472912]	4 0 2 2
19600.du2	[0,-1,0,-4083,-38338]	4 0 2 2
19600.dv1	[0,-1,0,-23344008,43418550512]	4 0 2 2
19600.dv2	[0,-1,0,-1392008,743862512]	4 0 2 2
19600.dw1	[0,0,0,-49000,4287500]	4 0 2 2
19600.dx1	[0,0,0,-137200,33614000]	4 0 2 2
19600.dy1	[0,0,0,245,-3430]	4 0 2 2
19600.dz1	[0,0,0,300125,1155481250]	4 0 2 2
19600.ea1	[0,0,0,245,-26950]	4 0 2 2
19600.eb1	[0,0,0,-8575,300125]	4 0 2 2
19600.ec1	[0,0,0,-175,-1750]	4 0 2 2
19600.ed1	[0,0,0,-2581075,-1596064750]	4 0 2 2
19600.ed2	[0,0,0,17998925,15143707250]	4 0 2 2
19600.ee1	[0,0,0,-3521875,2750431250]	4 0 2 2
19600.ef1	[0,0,0,-504700,142173500]	4 0 2 2
19845.a1	[0,0,1,-1323,30098]	0 4 1 2
19845.b1	[0,0,1,-279153,-14361496]	0 4 1 2
19845.c1	[0,0,1,-147,600]	0 4 1 2
19845.d1	[1,-1,1,-99308,-12072644]	0 4 1 2
19845.d2	[1,-1,1,-83,8992]	0 4 1 2
19845.e1	[0,0,1,-60858,4892123]	0 4 1 2
19845.e2	[0,0,1,-16758,-834262]	0 4 1 2
19845.f1	[0,0,1,-21168,1196984]	0 4 1 2
19845.f2	[0,0,1,882,8489]	0 4 1 2
19845.g1	[0,0,1,-7938,270884]	0 4 1 2
19845.g2	[0,0,1,-588,-5231]	0 4 1 2
19845.h1	[0,0,1,-5292,141230]	0 4 1 2
19845.h2	[0,0,1,-882,-10033]	0 4 1 2
19845.i1	[0,0,1,-2352,-44333]	0 4 1 2
19845.i2	[0,0,1,7938,-229210]	0 4 1 2
19845.j1	[0,0,1,-150822,22525067]	0 4 1 2
19845.j2	[0,0,1,-6762,-181190]	0 4 1 2
19845.k1	[1,-1,0,-11034,450813]	0 4 1 2
19845.k2	[1,-1,0,-9,-330]	0 4 1 2
19845.l1	[0,0,1,-1323,-16207]	0 4 1 2
19845.m1	[0,0,1,-147,-1115]	0 4 1 2
19845.n1	[0,0,1,-31017,531907]	0 4 1 2
20160.a1	[0,0,0,-10848,-401672]	6 2 1 1
20160.a2	[0,0,0,-2208,39832]	6 2 1 1
20160.a3	[0,0,0,-1308,72592]	6 2 1 1
20160.a4	[0,0,0,11652,-1850672]	6 2 1 1
20160.b1	[0,0,0,-48,-992]	6 2 1 1
20160.c1	[0,0,0,1152,-45792]	6 2 1 1
20160.d1	[0,0,0,-108,-208]	6 2 1 1
20160.d2	[0,0,0,372,-1552]	6 2 1 1
20160.e1	[0,0,0,-13548,606832]	6 2 1 1
20160.e2	[0,0,0,-6348,-189488]	6 2 1 1
20160.e3	[0,0,0,-948,7072]	6 2 1 1
20160.e4	[0,0,0,177,772]	6 2 1 1
20160.f1	[0,0,0,-2988,-60912]	6 2 1 1
20160.f2	[0,0,0,-468,2592]	6 2 1 1
20160.f3	[0,0,0,-423,3348]	6 2 1 1
20160.f4	[0,0,0,1332,17712]	6 2 1 1
20160.g1	[0,0,0,-2360748,1396054928]	6 2 1 1
20160.g2	[0,0,0,-155748,19252928]	6 2 1 1
20160.g3	[0,0,0,-47703,-3739048]	6 2 1 1
20160.g4	[0,0,0,320532,113937392]	6 2 1 1
20160.h1	[0,0,0,-17988,-69088]	6 2 1 1
20160.h2	[0,0,0,-12843,-558892]	6 2 1 1
20160.i1	[0,0,0,-215148,-38410832]	6 2 1 1
20160.i2	[0,0,0,-13548,-590672]	6 2 1 1
20160.i3	[0,0,0,-2028,22192]	6 2 1 1
20160.i4	[0,0,0,3732,-1993808]	6 2 1 1
20160.j1	[0,0,0,-104268,-12957712]	6 2 1 1
20160.j2	[0,0,0,-7068,-166192]	6 2 1 1
20160.j3	[0,0,0,-2568,48008]	6 2 1 1
20160.j4	[0,0,0,18132,-1083472]	6 2 1 1
20160.k1	[0,0,0,-948,-11072]	6 2 1 1
20160.k2	[0,0,0,-3,-488]	6 2 1 1
20160.l1	[0,0,0,-348,-1328]	6 2 1 1
20160.l2	[0,0,0,72,-152]	6 2 1 1
20160.m1	[0,0,0,-11448,460728]	6 2 1 1
20160.m2	[0,0,0,2052,1481328]	6 2 1 1
20160.n1	[0,0,0,-138,758]	6 2 1 1
20160.o1	[0,0,0,-678,-6802]	6 2 1 1
20160.p1	[0,0,0,67302,6593022]	6 2 1 1
20160.q1	[0,0,0,-7294188,-7361249488]	6 2 1 1
20160.q2	[0,0,0,-1120188,296980112]	6 2 1 1
20160.q3	[0,0,0,-1007688,389275112]	6 2 1 1
20160.q4	[0,0,0,3253812,2048329712]	6 2 1 1
20160.r1	[0,0,0,-23628,1395088]	6 2 1 1
20160.r2	[0,0,0,-2028,4048]	6 2 1 1
20160.r3	[0,0,0,-1308,-18128]	6 2 1 1
20160.r4	[0,0,0,8052,32272]	6 2 1 1
20160.s1	[0,0,0,-60588,5733072]	6 2 1 1
20160.s2	[0,0,0,-43308,9071568]	6 2 1 1
20160.s3	[0,0,0,-2988,-55088]	6 2 1 1
20160.s4	[0,0,0,4692,-291632]	6 2 1 1
20160.t1	[0,0,0,-3715788,1734477712]	6 2 1 1
20160.t2	[0,0,0,-3318348,2326649488]	6 2 1 1
20160.t3	[0,0,0,-1555788,-727058288]	6 2 1 1
20160.t4	[0,0,0,-1544268,-738638192]	6 2 1 1
20160.t5	[0,0,0,-207948,36150928]	6 2 1 1
20160.t6	[0,0,0,-46668,90792592]	6 2 1 1
20160.t7	[0,0,0,-23628,-491888]	6 2 1 1
20160.t8	[0,0,0,419892,-2447480432]	6 2 1 1
20160.u1	[0,0,0,-86988,9873488]	6 2 1 1
20160.u2	[0,0,0,-5988,121088]	6 2 1 1
20160.u3	[0,0,0,-2343,-42208]	6 2 1 1
20160.u4	[0,0,0,16692,819632]	6 2 1 1
20160.v1	[0,0,0,-134508,-18987568]	6 2 1 1
20160.v2	[0,0,0,-23628,1023248]	6 2 1 1
20160.v3	[0,0,0,-8508,-289168]	6 2 1 1
20160.v4	[0,0,0,312,-17512]	6 2 1 1
20160.w1	[0,0,0,-1188,-15552]	6 2 1 1
20160.w2	[0,0,0,-108,-42768]	6 2 1 1
20160.x1	[0,0,0,-1188,14688]	6 2 1 1
20160.x2	[0,0,0,-243,-1188]	6 2 1 1
20160.y1	[0,0,0,-15228,289872]	6 2 1 1
20160.y2	[0,0,0,-12528,539352]	6 2 1 1
20160.y3	[0,0,0,-8028,-276848]	6 2 1 1
20160.y4	[0,0,0,-528,-3848]	6 2 1 1
20160.z1	[0,0,0,-146208,-14307032]	6 2 1 1
20160.z2	[0,0,0,416292,-97782032]	6 2 1 1
20160.ba1	[0,0,0,-1073148,-427887472]	6 2 1 1
20160.ba2	[0,0,0,-64728,-7174648]	6 2 1 1
20160.bb1	[0,0,0,-4728,-130898]	6 2 1 1
20160.bb2	[0,0,0,-48,142]	6 2 1 1
20160.bb3	[0,0,0,312,-362]	6 2 1 1
20160.bc1	[0,0,0,-327948,72130032]	6 2 1 1
20160.bc2	[0,0,0,-205068,126836208]	6 2 1 1
20160.bd1	[0,0,0,-31428,-2144448]	6 2 1 1
20160.bd2	[0,0,0,-30348,-2298672]	6 2 1 1
20160.be1	[0,0,0,-16428,809552]	6 2 1 1
20160.be2	[0,0,0,-12108,-508912]	6 2 1 1
20160.be3	[0,0,0,-1308,5168]	6 2 1 1
20160.be4	[0,0,0,312,632]	6 2 1 1
20160.bf1	[0,0,0,-348,-2448]	6 2 1 1
20160.bf2	[0,0,0,-48,72]	6 2 1 1
20160.bg1	[0,0,0,-11664588,-15333885488]	6 2 1 1
20160.bg2	[0,0,0,-1044588,-12537488]	6 2 1 1
20160.bg3	[0,0,0,-729588,-239211488]	6 2 1 1
20160.bg4	[0,0,0,-26463,-6898988]	6 2 1 1
20160.bh1	[0,0,0,-62508,-5662928]	6 2 1 1
20160.bh2	[0,0,0,-12108,405232]	6 2 1 1
20160.bh3	[0,0,0,-11388,467728]	6 2 1 1
20160.bh4	[0,0,0,26772,2473648]	6 2 1 1
20160.bi1	[0,0,0,-802668,171394288]	6 2 1 1
20160.bi2	[0,0,0,-714468,232393408]	6 2 1 1
20160.bi3	[0,0,0,-714423,232424152]	6 2 1 1
20160.bi4	[0,0,0,-626988,291424912]	6 2 1 1
20160.bj1	[0,0,0,-154188,23302512]	6 2 1 1
20160.bj2	[0,0,0,-50508,-4082832]	6 2 1 1
20160.bj3	[0,0,0,-10188,320112]	6 2 1 1
20160.bj4	[0,0,0,1332,29808]	6 2 1 1
20160.bk1	[0,0,0,-327948,-72130032]	6 2 1 1
20160.bk2	[0,0,0,-205068,-126836208]	6 2 1 1
20160.bl1	[0,0,0,-31428,2144448]	6 2 1 1
20160.bl2	[0,0,0,-30348,2298672]	6 2 1 1
20160.bm1	[0,0,0,-16428,-809552]	6 2 1 1
20160.bm2	[0,0,0,-12108,508912]	6 2 1 1
20160.bm3	[0,0,0,-1308,-5168]	6 2 1 1
20160.bm4	[0,0,0,312,-632]	6 2 1 1
20160.bn1	[0,0,0,-348,2448]	6 2 1 1
20160.bn2	[0,0,0,-48,-72]	6 2 1 1
20160.bo1	[0,0,0,-11664588,15333885488]	6 2 1 1
20160.bo2	[0,0,0,-1044588,12537488]	6 2 1 1
20160.bo3	[0,0,0,-729588,239211488]	6 2 1 1
20160.bo4	[0,0,0,-26463,6898988]	6 2 1 1
20160.bp1	[0,0,0,-62508,5662928]	6 2 1 1
20160.bp2	[0,0,0,-12108,-405232]	6 2 1 1
20160.bp3	[0,0,0,-11388,-467728]	6 2 1 1
20160.bp4	[0,0,0,26772,-2473648]	6 2 1 1
20160.bq1	[0,0,0,-802668,-171394288]	6 2 1 1
20160.bq2	[0,0,0,-714468,-232393408]	6 2 1 1
20160.bq3	[0,0,0,-714423,-232424152]	6 2 1 1
20160.bq4	[0,0,0,-626988,-291424912]	6 2 1 1
20160.br1	[0,0,0,-154188,-23302512]	6 2 1 1
20160.br2	[0,0,0,-50508,4082832]	6 2 1 1
20160.br3	[0,0,0,-10188,-320112]	6 2 1 1
20160.br4	[0,0,0,1332,-29808]	6 2 1 1
20160.bs1	[0,0,0,-4728,130898]	6 2 1 1
20160.bs2	[0,0,0,-48,-142]	6 2 1 1
20160.bs3	[0,0,0,312,362]	6 2 1 1
20160.bt1	[0,0,0,-146208,14307032]	6 2 1 1
20160.bt2	[0,0,0,416292,97782032]	6 2 1 1
20160.bu1	[0,0,0,-1073148,427887472]	6 2 1 1
20160.bu2	[0,0,0,-64728,7174648]	6 2 1 1
20160.bv1	[0,0,0,-7294188,7361249488]	6 2 1 1
20160.bv2	[0,0,0,-1120188,-296980112]	6 2 1 1
20160.bv3	[0,0,0,-1007688,-389275112]	6 2 1 1
20160.bv4	[0,0,0,3253812,-2048329712]	6 2 1 1
20160.bw1	[0,0,0,-23628,-1395088]	6 2 1 1
20160.bw2	[0,0,0,-2028,-4048]	6 2 1 1
20160.bw3	[0,0,0,-1308,18128]	6 2 1 1
20160.bw4	[0,0,0,8052,-32272]	6 2 1 1
20160.bx1	[0,0,0,-60588,-5733072]	6 2 1 1
20160.bx2	[0,0,0,-43308,-9071568]	6 2 1 1
20160.bx3	[0,0,0,-2988,55088]	6 2 1 1
20160.bx4	[0,0,0,4692,291632]	6 2 1 1
20160.by1	[0,0,0,-86988,-9873488]	6 2 1 1
20160.by2	[0,0,0,-5988,-121088]	6 2 1 1
20160.by3	[0,0,0,-2343,42208]	6 2 1 1
20160.by4	[0,0,0,16692,-819632]	6 2 1 1
20160.bz1	[0,0,0,-3715788,-1734477712]	6 2 1 1
20160.bz2	[0,0,0,-3318348,-2326649488]	6 2 1 1
20160.bz3	[0,0,0,-1555788,727058288]	6 2 1 1
