3
13 6    0 1 0 1 0 1 0 0 0 0         0 0 0 0 1 0
19 0     0 0 0 -1 1 0 -1 1 0 0         1 0 0 0 1 0
15 7     0 1 1 1 1 0 0 0 0 0         0 -1 -1 0 1 0
18 4     0 1 1 -1 0 1 0 0 0 0         -1 0 -1 1 1 0
16 9     0 1 1 1 0 0 0 1 0 0         -1 0 0 0 1 0
0 0     0 0 0 0 0 0 0 0 0 0
