1
0 0 0 0 0 0 0 0 27 0
0 0 0 0 0 0 0 0 1 0
-1 -1 0 1 -1 -1 33 -1 0 -58
-1 -1 0 1 0 0 3 0 0 -1 
0 0 0 0 0 0 6 0 7 0
-1 -1 0 1 0 0 9 0 0 -4
-1 -1 0 1 -1 -1 54 -1 0 -122
0 0 0 0 0 -1 0 0 7 0
0 0 0 0 -1 0 0 0 0 0
0 0 0 0 0 -1 -270 0 1708 0
0 0 0 0 -1 0 -30 0 63 0
0 -1 1 0 -1 0 -15 13 12 -27
-1 0 -1 0 -1 -1 -2 1 1 -2
-1 0 -1 0 0 -1 -15 -14 -12 -27
0 -1 1 0 -1 -1 -1 -2 -1 -2 
0 -1 1 0 0 -1 -28 0 53 0
-1 0 -1 0 0 0 -3 0 3 0
-1 0 -1 0 -1 -1 -2 -14 8 -14
0 -1 1 0 -1 0 0 -2 0 -1
-1 0 -1 0 -1 -1 -2 13  8 13
0 -1 1 0 -1 0 0 1 0 1
-1 0 -1 0 0 0 12 0 8 0
0 -1 1 0 0 -1 2 0 1 0
0 -1 1 0 0 0 -123 0 667 0
-1 0 -1 0 -1 0 -14 0 29
0
0 0 0 0 -1 -1 0 0 0 -14
0 0 0 0 -1 -1 0 0 0 -1
-1 -1 0 1 -1 -1 33 26 -108 77
-1 -1 0 1 0 0 3 3 -5 4
-1 -1 0 1 0 0 33 -27 -81 -44
-1 -1 0 1 -1 -1 3 -4 -2 -1
