1 0 0 0
0 0 0 1
-2 0 0 3
0 -1 0 0
0 1 1 -1
0 23 78 -78
-1 0 0 2
0 -1 1 -1
0 5 8 -8
2 0 0 1
0 0 0 3
-3 0 0 6
-6 0 0 15
-40 0 0 253
0 -1 2 -2
0 -3 3 3
3 0 0 0
0 -3 0 0
0 -5 7 7
13 0 46 0
0 0 0 9
0 -9 18 18
0 -11 25 25
0 -27 99 99
7 0 10 0
-3 -3 9 -3
7 0 19 0
1 -15 37 45
1 15 37 -45
-3 0 0 3
0 -6
9 9
3 0 9 0
3 9 9 -27
3 -9 9 27
-1 3 9 -1
-1 -3 9 1
-7 0 0 17
0 -4 7 -7
-2 6 17 -9
2 6 9 -17
0 0 9 -9
0 36 153 -153
-9 18 90 -9
9 18 9 -90
3 7 11 -7
3 -7 11 7
-5 0 19 0
19 0 215 0
1 1 0 0
-1 1 2 0
1 -2 0 3
1 -1 0 0
-1 -1 2 0
0 -1 11 -11 
0 -35 146  146
0 5 34 -34
0 -1 0 1
0 -1 1 0
0 1 1 -2
0 1 2 -1
-4 -3 9 -8
4 -3 8 -9
-12 -13 70 -25
12 -13 25 -70
0 0 1 -1
1 -1 1 -1
-3 0 0 5
-1 0 1 0
1 1 1 1
0 -2 1 1
0 -14 37 37
2 0 -3 1
-2 0 1 -3
-3 2 5 4
3 2 4 5
0 0 3 -3
-3 3 9 3
1 2 0 3
-1 3 6 -2
 
-1 -3 6 2
-3 1 2 2
-3 -1 2 -2
3 3 0 0
-3 -5 16 -2
3 -3 0 0
-3 5 16 2
-2 0 0 2
-5 0 0 11
0 0 2 0
2 -2 -2 4
2 2 2 4
-2 0 2 0
13 0 47 0
-3 0 3 0
0 0 6 0
4 0 10 0
12 0 42 0
-3 0 3 6
3 0 6 3
-3 0 9 0 
-2 0 10 0
6 0 18 0
-10 0 0 26
0 0 18 0
-13 0 0 35
3 -16 38 61
-3 -16 61 38
 
-1 0 2 1
1 0 1 2
-15 -16 97 -34
15 -16 34 -97
-1 0 0 3
-1 0 0 5
-3 -12 39 18
-3 12 39 -18 
33 0 189 0
-9 0 0 9
23 0 0 73
-3 -4 7 2
-3 4 7 -2
-5 -4 14 -9
5 -4 9 -14
-1 0 0 7
-9 0 0 45
73 0 595 0
1 0 17 0
-9 0 0 21
-7 0 3 -16
-7 0 3 16
9 -8 19 -36
-9 -8 36 -19
-17 0 0 71
57 0 429 0
15 0 0 9
1 8 9 -20
1 -8 9 20
-33 0 0 207
-7 0 13 0 
25 0 131 0
-33 0 0 177
23 0 0 11
15 0 0 183
-73 0 0 827
153 0 963 0
0 4079 184211 -184211
0 -971 21395 21395
0 239 2761 -2761
1809 0 76941 0
-1153 0 0 39151
-657 0 0 16839
-79 168 2511 -316
79 168 316 -2511
5745 0 435447 0
-505 0 0 23053
366 0 7002 0
-106 0 0 1090
-97 0 0 955
193 0 2681 0
-47 0 2359 0
-105 0 0 1077
0 0 0 0
