2
7 1    0 1 -1 1 1 0 0 -1 0 0      1 0 0 0 1 0
10 0    0 0 1 0 0 0 -1 0 0 0       -2 0 0 1 1 0
11 0    0 0 -1 0 1 0 0 0 0 0         2 1 1 2 1 0
6 8     0 1 1 -1 0 1 2 0 1 -1        0 1 1 0 1 0
12 5     1 0 0 1 1 0 -1 0 0 0         0 0 0 0 1 0
10 7     1 0 1 -1 0 1 2 0 2 -2         1 0 -3 0 1 0
11 7     0 1 0 1 1 1 0 1 0 0         0 0 0 0 1 0
2 11     1 1 0 -1 1  1 0 -3 0 0         -1 -1 1 1 1 0
7 10     1 0 -1 1 1 0 -1 1 -2 -1         0 0 0 -1 1 0
16 0     0 0 1 0 0 0 1 0 1 0         -1 1 2 0 1 0
0 12     0 0 -1 0 0 0 -2 0 0 0         1 0 0 1 1 0
17 0     1 0 -1 0 1 0 -1 0 0 0         -3 0 1 4 1 0
0 0      0 0 0 0 0 0 0 0 0 0         0 0 1 0 0 0
