7
11 0     0 0 -1 0 1 0 0 0 0 0         -1 0 0 -1 1 0
12 1     1 1 0 1 1 0 -2 0 0 0         1 -1 -1 0 1 0
5 -10     0 0 1 0 1 0 -1 0 0 0        -2 0 0 -1 1 0
10 5     0 0 1 -1 0 1 -1 0 0 0         -1 1 -1 0 1 0
0 0     0 0 0 0 0 0 0 0 0 0 0 0
