3
0 0 1 1 0 1 0 1 0 0
1 0 1 1 0 0 0 1 0 0
1 0 1 1 0 0 0 -4 4 -9
1 0 1 1 0 0 10 6 20 -11
1 0 1 1 0 0 5 11 11 -20
1 1 0 1 0 0 -1 1 0 0
1 1 0 1 0 0 4 -4 7 0
1 1 0 1 0 0 79 -79 322 0
1 1 0 1 0 0 9 -9 0 0
1 1 0 1 0 0 134 -134 -525 0
1 1 0 1 0 0 -36 36 -63 0
1 1 0 1 0 0 2159 -2159 -37380 0
1 1 0 1 0 0 109 -109 -770 0
0 0 0 0 1 0 0 0 0 0
0 0 0 0 1 0 -30 0 63 0
0 0 -1 0 1 0 0 0 0 0
0 0 -1 0 1 0 -10 0 -20 0
0 0 -1 0 1 0 -7820 0 -263580 0
0 1 -1 1 1 1 0 -1 0 -1
0 1 -1 1 1 1 10 4 6 2
0 1 -1 1 1 1 -750 -551 -5980 -10551
0 0 0 0 0 0 0 0 1 0
0 0 0 0 0 0 -15 0 22 0
1 1 0 -1 0 0 -1 1 0 0
1 1 0 -1 0 0 4 -4 -1 0
1 1 0 -1 0 0 49 -49 -136 0
1 1 0 -1 0 0 39 -39 90 0
1 1 0 -1 0 0 784 -784 -8515 0
1 1 0 -1 0 0 34 -34 -217 0
1 1 0 -1 0 0 -321 -149 -1906 -1866
1 1 0 -1 0 0 149 321 -3772 1866
1 1 0 0 0 1 0 0 0 0
1 1 0 0 0 1 -5 10 1 10
1 1 0 0 0 1 5 -10 13 -10
1 1 0 0 0 1 -25 5 67 -19
0 0 0 1 0 0 -1 1 0 0
0 0 0 1 0 0 -11 6 10 -11
0 0 0 1 0 0 -6 11 -1 11
0 0 0 1 0 0 4 -4 4 0
0 0 0 1 0 0 64 -64 220 0
0 0 0 1 0 0 24 -24 -36 0
0 0 0 1 0 0 384 -384 -2772 0
0 0 0 1 0 0 -16 16 -180 0
0 1 0 0 1 0 0 0 0 0
0 1 0 0 1 0 0 10 12 0
0 1 0 0 1 0 0 -5 -6 0
0 1 0 0 1 0 0 35 -70 0
0 1 0 0 1 0 220 -405 -2854 1920
0 1 0 0 1 0 -220 -185 -934 -1920
0 1 0 0 1 0 0 170 -874 0
0 1 0 0 1 0 0 2730 -55146 0
0 1 0 0 1 0 -230 -185 -806 -1880
0 1 0 0 1 0 230 -415 -2686 1880
1 1 1 0 1 0 -1 0 0 -1
1 1 1 0 1 0 9 0 8 -9
1 1 1 0 1 0 -36 55 -54 167
1 1 1 0 1 0 -36 -105 266 615
1 1 1 1 1 1 -1 1 -1 0
1 1 1 1 1 1 -1 6 -8 4
1 1 1 1 1 1 -6 86 -327 47
1 1 1 1 1 1 4 6 3 -3
0 0 -1 -1 0 0 0 1 0 0
0 0 -1 -1 0 0 0 -4 -4 8
1 1 1 -1 1 1 0 -2 0 -1
1 1 1 -1 1 1 -5 -2 3 0
1 1 1 -1 1 1 -85 -7 274 34
1 1 1 -1 1 1 -5 3 4 10
1 1 1 -1 1 1 -80 123 -11 475
1 1 1 -1 1 1 70 -37 63 125
1 1 1 -1 1 1 1090 -542 3564 8949
1 1 1 -1 1 1 250 -172 -702 -559
1 0 1 1 1 0 -1 1 -1 0
1 0 1 1 1 0 -1 6 -5 2
1 0 1 1 1 0 9 -34 -47 50
1 0 1 1 1 0 -16 81 -227 -22
1 0 1 1 1 0 14 11 41 -26
1 0 1 1 1 0 14 -39 -17 38
1 0 1 1 1 0 -86 146 -405 550
1 0 1 1 1 0 194 -304 2111 -1142
0 1 0 1 0 1 0 0 0 0
0 1 1 -1 1 0 0 0 0 0
0 1 1 -1 1 0 0 5 -4 0
0 1 1 -1 1 0 0 90 -310 0
0 1 1 -1 1 0 0 0 -14 0
1 0 0 0 1 0 1 0 2 0
1 0 0 0 1 0 -19 0 26 0
1 0 0 0 1 0 -14 0 -64 0
1 0 0 0 1 0 -289 0 1862 0
1 0 0 0 1 0 -69 0 -194 0
